confirmed,death,recover
1,0,0
1,0,0
2,0,0
2,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
7,0,0
8,0,0
8,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,3
11,0,3
12,0,3
12,0,3
13,0,3
13,0,3
13,0,3
13,0,3
13,0,3
13,0,3
13,0,3
13,0,3
15,0,5
15,0,5
15,0,5
15,0,5
15,0,6
15,0,6
16,0,6
16,0,7
24,1,7
30,1,7
53,6,7
73,7,7
104,11,7
174,12,7
222,14,7
337,17,7
451,21,7
519,22,7
711,28,8
1109,33,8
1561,43,12
2157,52,12
2870,58,12
2968,70,12
4360,97,17
6141,131,17
8917,188,105
14157,265,121
19479,362,147
25825,456,176
33761,601,178
43850,784,178
54112,1021,348
66055,1333,361
84091,1746,681
102276,2300,869
122069,2934,1072
141205,3561,2665
162707,4381,5644
188724,5605,7024
214205,6846,8474
244610,8432,9001
276547,9747,9707
309699,11031,14652
337573,12470,17448
367215,14138,19581
397992,16447,21763
429686,18563,23559
464442,20638,25410
497943,22731,28790
527969,24777,31270
556522,26548,32988
581813,28376,43482
608878,30780,47763
637974,33329,52096
669272,35442,54703
701996,38056,58545
730337,40442,64840
756375,41671,70337
783716,43466,72329
809228,45919,75204
837422,48312,77366
871617,50749,80203
907908,52867,99079
940829,54517,100372
968518,55810,106988
990999,57233,111424
1015518,59454,115936
1042926,61955,120720
1072667,64256,153947
1106829,66125,164015
1136024,67681,175382
1161611,68777,180152
1184086,70086,187180
1208271,72393,189791
1233527,74851,189910
1261409,76770,195036
1288587,78497,198993
1314320,79976,212534
1334084,80855,216169
1352962,83480,230287
1374916,81868,232733
1396109,85234,243430
1423726,87008,246414
1449026,88669,250747
1474127,89892,268376
1493131,90644,272265
1514900,91414,283178
1535349,92965,289392
1558970,94528,294312
1584511,95756,298418
1608652,97025,350135
1630475,98146,361239
1651288,98754,366736
1670279,99267,379157
1689162,99952,384902
1707444,101461,391508
1730259,102643,399991
1754763,103809,406446
1778993,104773,416461
1799122,105364,444758
1816476,106136,458231
1837371,107169,463868
1857329,108159,479258
1878680,109168,485002
1903904,110138,491706
1926636,110818,500849
1944367,111269,506367
1961781,111774,518522
1979908,112714,524855
2000702,113631,533504
2023652,114512,540292
2048986,115334,547386
2074542,116084,556606
2094366,116382,561816
2114026,116773,576334
2137731,117612,583503
2163290,118363,592191
2191099,119067,599115
2222579,119739,606715
2255327,120349,617460
2281766,120604,622133
2312302,121010,640198
2347491,121847,647548
2382426,122604,656161
2422299,125026,663562
2467554,125631,670809
2510259,126120,679308
2549294,126360,685164
2590668,126711,705203
2636414,127432,720631
2687588,128105,729994
2742049,128803,781970
2795361,129442,790404
2841241,129689,894325
2891124,129960,906763
2936077,130285,924148
2996098,131480,936476
3054699,132300,953462
3117946,133290,969111
3184573,134092,983185
