confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
4,0,0
4,0,0
5,0,0
7,0,0
7,0,0
7,0,0
11,0,0
16,0,0
21,0,1
22,0,1
22,0,1
22,0,1
24,0,1
24,0,1
40,1,1
40,1,1
74,1,1
84,2,2
94,4,2
110,4,2
110,4,2
120,4,2
170,4,2
174,4,5
237,4,5
273,6,10
281,6,10
299,7,10
349,7,15
367,11,18
423,14,18
444,14,29
484,15,32
521,15,32
555,18,32
607,18,32
665,21,32
714,23,40
784,25,43
840,30,54
906,30,99
933,30,112
996,33,131
1026,36,135
1092,36,150
1176,40,166
1279,42,179
1351,43,188
1463,47,188
1531,50,207
1703,57,220
1828,58,228
1939,60,252
2171,64,260
2335,68,310
2469,72,331
2704,85,345
2894,90,397
3224,95,421
3392,104,458
3563,106,468
3778,109,472
4033,115,502
4402,120,558
4687,122,558
4963,127,610
5226,132,648
5639,136,691
6053,153,745
6402,168,745
6664,169,778
7072,173,801
7653,178,850
8145,187,930
8676,193,938
9216,205,996
9998,216,1040
10582,218,1075
11173,219,1097
11831,220,1128
12456,227,1138
13036,235,1209
13659,246,1259
14525,249,1303
15205,257,1328
15750,265,1428
16509,270,1450
17267,294,1522
18054,300,1585
18969,309,1762
19551,327,1830
20342,357,1875
20917,369,2171
21459,384,2651
22142,405,3013
22890,426,3326
23546,446,3928
24102,451,4201
24766,471,4725
25527,478,5164
26310,491,5508
26874,504,6158
27532,546,7660
27878,548,7962
28424,569,8292
28833,581,8764
29157,598,8841
29481,618,9260
29640,639,9869
30175,675,10174
30451,683,10306
30616,703,10674
30967,721,12604
31238,733,13934
31517,746,14131
31836,774,15651
32022,807,16041
32324,819,17331
32672,826,19164
32951,864,19366
33190,898,20103
33384,920,20179
33594,936,20700
33908,957,20847
34194,971,20882
