confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0,0
10,0,0
12,1,0
23,1,0
33,1,0
38,1,0
42,1,0
51,1,0
55,1,0
59,2,0
64,2,0
70,2,0
76,2,2
89,2,2
104,4,2
123,5,10
146,5,17
174,6,17
186,8,31
197,10,31
212,10,33
223,11,44
243,15,52
259,15,67
277,16,76
304,17,89
333,20,99
361,20,104
377,21,116
383,22,131
400,22,154
409,23,165
416,23,182
433,23,197
446,23,217
467,23,232
475,24,248
494,25,251
518,26,277
539,26,283
548,26,302
562,26,314
584,26,327
609,26,345
634,27,356
663,27,385
678,27,394
712,27,403
726,28,410
736,28,422
750,30,431
766,30,455
773,31,470
782,31,488
789,31,519
795,31,531
803,31,543
820,31,570
832,31,595
842,31,605
850,31,620
856,31,627
868,31,650
872,31,654
876,31,682
880,31,688
898,31,694
916,31,705
933,31,714
946,31,715
948,31,727
949,31,742
964,31,758
969,31,771
981,31,777
989,31,783
998,32,789
1004,32,795
1029,33,803
1050,33,812
1076,33,823
1099,33,851
1122,33,857
1137,33,872
1143,33,877
1164,33,891
1184,33,898
1197,33,898
1212,33,910
1232,34,925
1246,34,938
1263,34,945
1299,34,960
1341,34,980
1385,35,1001
1416,36,1034
1464,36,1039
1521,36,1044
1590,36,1055
1672,37,1064
1722,38,1077
1788,39,1086
1838,42,1114
1891,43,1126
1962,44,1134
1995,44,1159
2047,45,1195
2114,47,1217
2192,49,1250
2269,51,1298
2330,53,1346
2402,55,1384
2466,58,1438
2535,62,1459
2580,65,1516
2662,69,1559
2752,72,1592
2819,74,1637
2893,76,1657
2964,79,1702
3038,81,1744
3106,83,1791
3188,83,1832
3278,85,1875
