confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,1
1,0,0
1,0,1
1,0,1
2,0,1
39,0,1
39,0,1
53,0,1
75,0,1
88,0,1
113,1,1
133,1,1
164,1,1
188,1,1
224,3,1
267,3,1
308,3,1
334,6,1
370,8,10
376,12,10
390,14,10
428,15,10
439,16,16
466,17,21
501,18,26
525,21,31
545,22,39
564,23,52
583,25,58
601,26,71
601,26,71
638,29,128
646,29,128
659,31,128
673,33,169
673,33,169
696,35,191
704,35,205
713,36,235
717,37,248
717,37,282
723,37,309
723,37,333
731,40,344
738,40,344
738,40,344
743,40,385
743,41,398
743,42,423
745,42,468
745,43,468
747,44,472
748,45,493
750,45,499
751,46,514
751,46,521
752,47,526
752,47,537
754,48,545
755,48,550
755,48,550
758,48,568
760,49,576
761,49,596
761,49,604
761,51,615
761,51,617
761,51,624
761,51,628
762,51,639
762,51,639
762,51,652
762,51,653
762,51,653
763,51,663
763,51,676
763,51,676
763,51,681
764,51,684
764,51,692
764,51,694
765,51,698
844,51,733
851,51,735
852,51,738
852,51,741
852,51,741
852,51,744
852,51,751
852,51,757
852,51,759
852,51,780
853,51,781
853,51,781
853,51,781
853,51,789
854,52,789
854,52,791
855,52,792
855,52,792
855,52,792
855,52,792
855,52,796
855,52,797
855,52,797
855,52,797
855,52,799
855,52,799
855,52,799
855,52,799
855,52,799
855,52,799
855,52,800
855,52,800
855,52,800
855,52,800
855,52,800
855,52,800
855,52,802
855,52,802
855,52,803
