confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
2,0,0
2,0,0
3,0,0
3,0,0
3,0,0
4,0,0
4,0,0
5,0,0
7,2,0
7,2,0
7,2,1
8,2,1
8,2,1
8,2,1
10,2,2
14,2,2
16,2,2
17,2,2
19,2,2
19,2,2
19,2,2
19,2,4
19,2,4
19,2,4
19,2,5
19,2,5
19,2,5
19,2,5
24,2,6
24,2,6
24,2,6
24,2,6
25,2,6
25,2,6
25,2,6
25,2,6
26,2,6
27,2,6
27,2,6
27,2,7
27,2,7
30,2,11
35,2,11
35,2,11
35,2,11
36,2,11
36,2,11
36,2,11
43,2,11
43,2,13
45,2,13
45,2,13
45,2,13
45,2,14
48,2,14
48,2,17
48,2,17
48,2,17
50,3,17
52,3,17
52,3,17
58,3,17
60,3,17
61,4,18
69,4,18
70,4,18
70,4,18
71,4,18
74,4,18
81,4,18
84,4,18
86,4,18
86,4,18
86,4,18
86,4,18
86,4,18
86,4,21
88,4,24
91,4,24
92,4,38
96,4,38
113,4,40
118,5,41
130,5,42
138,6,61
140,6,61
142,6,64
148,6,64
155,7,64
166,8,64
172,8,66
176,9,66
183,9,77
186,10,77
189,10,77
197,10,77
212,10,81
212,10,81
259,10,81
267,11,81
276,11,93
284,13,93
291,15,97
315,17,97
328,18,107
346,19,108
346,19,108
346,19,108
386,21,117
386,21,117
396,22,117
458,23,117
