confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
2,0,0
8,0,0
12,1,0
12,1,0
17,1,0
19,1,0
19,1,0
31,2,0
34,2,1
45,2,1
56,2,1
68,2,3
79,2,3
97,3,3
128,3,3
158,4,3
266,4,3
301,4,3
387,6,52
387,8,52
502,9,63
589,13,72
690,18,72
745,19,72
820,23,228
1054,27,240
1054,28,248
1133,36,256
1265,39,266
1451,43,279
1451,44,280
1554,48,325
1628,56,338
1715,63,358
1795,72,365
1975,82,375
1975,83,440
2142,90,468
2208,97,515
2277,102,559
2443,111,596
2571,115,631
2669,123,666
2758,129,685
2839,132,709
2941,136,737
3031,147,840
3144,152,872
3435,165,919
3607,176,976
3780,185,1030
3892,192,1107
4003,197,1140
4127,207,1162
4285,214,1192
4428,218,1256
4532,225,1292
4681,237,1320
4783,246,1354
4887,260,1442
5020,264,1472
5208,273,1524
5371,282,1601
5611,293,1659
5776,300,1728
6034,305,1757
6278,314,1837
6563,319,1862
6879,329,2266
7134,353,2385
7479,356,2497
7805,363,2534
8068,373,2569
8371,382,2625
8809,393,2872
9283,403,2933
9931,416,3032
10649,433,3062
11353,445,3530
12076,452,3732
12628,467,3999
13228,484,4167
13933,500,4349
14702,508,4617
15419,520,4788
16214,528,4788
16851,539,5336
17415,556,5521
18319,569,5709
19268,583,5896
20197,608,5993
21037,632,6088
22020,648,6180
22794,664,6909
23620,693,7305
24761,717,7568
25987,735,7991
27373,765,8332
28764,785,8743
30295,815,9083
31577,833,9564
32785,854,9891
34159,878,10174
35552,913,10512
37510,948,10721
39570,979,11851
41204,992,12206
42785,1011,12728
44931,1043,13153
47203,1078,13576
49851,1116,13816
52457,1150,14788
55343,1184,18416
57744,1207,19143
59933,1232,20134
62268,1280,21138
64530,1307,22028
67197,1351,23040
69941,1385,24186
72786,1437,25224
75376,1481,25930
77815,1507,27597
80447,1582,28531
83426,1644,30095
87030,1694,36502
90693,1720,38313
94060,1774,38984
