confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
4,0,0
8,0,0
18,0,0
26,0,0
52,0,0
78,0,1
84,0,1
115,0,1
136,0,1
160,0,1
194,0,2
235,0,2
249,0,14
265,0,16
290,1,18
329,1,28
407,1,30
424,3,30
482,3,30
532,3,30
571,4,31
663,7,33
736,7,43
770,7,43
822,7,57
833,8,62
853,8,87
881,9,114
921,10,138
937,12,149
967,13,173
1013,13,197
1039,14,211
1067,16,265
1111,17,297
1159,18,358
1201,19,402
1248,20,523
1291,20,545
1339,22,580
1401,24,609
1473,24,633
1523,24,659
1596,27,728
1677,28,803
1746,28,833
1808,29,848
1867,30,866
1932,30,900
2066,32,929
2148,33,977
2273,33,1010
2386,35,1035
2507,39,1071
2619,40,1111
2782,40,1135
2884,42,1185
3029,43,1218
3175,44,1267
3313,45,1325
3392,46,1359
3538,47,1430
3718,48,1500
3860,49,1572
4044,52,1666
4283,55,1791
4472,60,1925
4823,61,2019
5041,64,2164
5271,67,2419
5606,70,2581
5928,74,2874
6302,77,2936
6661,81,3064
7113,87,3145
7402,91,3220
7774,98,3255
8216,113,3287
8676,120,3297
8927,127,3317
9282,131,3386
9492,139,3402
10009,158,3427
10524,170,3454
11221,176,3468
11817,183,3513
12364,190,3720
13130,200,4014
13325,211,4099
13675,217,4451
14103,227,5226
14669,245,5466
15281,258,5639
16004,264,6081
16667,269,6214
17064,285,6276
17489,293,6571
18033,302,6814
18698,309,7560
19157,319,8266
19708,332,8854
20268,350,9002
20588,360,9131
21006,372,10144
21717,386,10797
22488,397,11335
23247,410,12149
23909,421,12911
24645,426,13116
25127,433,13297
25542,443,14048
26065,453,14563
26658,459,15036
27320,469,15484
27900,477,15935
28606,484,16140
28936,491,16302
29285,503,16907
29820,521,17427
30346,535,18000
30903,546,18709
