confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3,0,0
3,0,0
3,0,0
3,0,0
6,0,0
6,0,0
9,0,0
9,0,0
9,0,0
11,0,0
11,0,3
11,0,3
15,1,3
15,1,3
23,1,6
28,1,6
28,1,6
28,1,6
44,1,6
44,1,6
53,1,11
65,1,10
72,1,10
87,1,10
93,2,10
122,3,15
165,3,15
182,4,15
209,4,15
273,4,26
298,5,26
359,5,26
400,5,26
443,5,32
521,5,32
584,7,32
641,7,44
717,8,44
822,8,63
926,9,101
991,10,159
1058,11,200
1098,11,250
1148,12,289
1197,13,351
1253,13,404
1283,15,460
1340,15,528
1373,18,590
1398,19,712
1436,19,791
1480,20,865
1518,20,907
1548,20,948
1592,21,1013
1617,21,1080
1645,21,1139
1678,22,1162
1717,22,1221
1766,23,1267
1804,24,1325
1854,25,1365
1894,25,1411
1932,25,1441
1984,26,1480
2060,26,1508
2127,28,1536
2204,28,1551
2279,28,1576
2422,31,1620
2519,32,1650
2589,32,1680
2693,33,1680
2758,35,1789
2879,35,1833
2980,36,1886
3138,36,1944
3274,39,2015
3387,40,2055
3518,41,2198
3631,43,2253
3749,44,2340
3855,46,2399
3982,49,2506
4122,49,2607
4271,51,2741
4403,52,2819
4568,54,2897
4759,56,3022
4989,58,3125
5246,61,3327
5494,63,3428
5662,68,3508
5935,71,3564
6260,76,3665
6522,78,3737
6860,82,3871
7239,84,4024
7553,88,4149
7876,93,4377
8191,98,4606
8530,102,4720
8882,108,4930
9218,113,5116
9570,115,5309
9957,119,5583
10324,122,5739
10662,126,5948
10991,133,6075
11329,139,6192
11767,143,6325
12238,148,6516
12729,154,6799
13207,161,7168
13715,167,7503
14305,174,7768
14852,180,8059
15369,187,8364
15890,193,8719
16424,198,9026
16968,206,9369
17524,213,9715
18112,220,10061
18684,228,10425
19267,235,10820
19801,241,11291
20324,250,11742
20837,258,12182
21374,265,12635
21916,274,13100
22464,284,13591
22990,292,14093
