confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,1
9,0,3
9,0,3
12,0,3
27,0,3
27,0,3
27,0,3
36,0,3
36,0,3
51,0,5
51,0,5
69,0,5
76,0,15
76,0,15
81,0,15
81,0,22
86,0,29
86,0,29
94,0,32
94,0,32
94,0,32
152,0,32
152,1,47
163,2,53
304,4,53
351,4,53
440,5,53
562,8,52
700,13,53
861,13,54
1066,13,77
1486,16,139
1981,19,169
2226,23,172
2578,26,203
2919,29,203
3281,33,203
3728,36,203
4204,40,203
4779,42,342
5297,45,342
5807,47,494
6264,51,514
6723,55,577
7281,58,769
8022,60,938
8773,63,1120
9590,67,1573
10463,72,1695
11289,75,1740
12208,79,1993
13181,84,2072
14027,89,2386
14917,93,2918
15828,97,3117
16705,99,3196
17489,103,3259
18350,107,3771
19255,112,4388
20168,116,5067
21101,121,5484
22052,126,6050
22973,131,6406
23906,135,6531
24873,142,6974
25825,146,7711
26772,151,8168
27730,156,8807
28681,160,9498
29650,165,9932
30572,171,10130
31508,175,10620
32426,179,11415
33371,185,12057
34303,190,12833
35244,194,13528
36198,199,14155
37144,204,14449
38059,208,15086
38956,214,15923
39858,219,16660
40764,224,17390
41658,229,17964
42556,235,18514
43403,240,18776
44255,243,19195
45116,248,20171
45981,253,21162
46868,259,22066
47751,263,23015
48630,269,23647
49453,276,23880
50265,282,24506
51066,288,25667
51816,293,26643
52520,298,27760
53241,303,29111
53973,308,30103
54680,312,30420
55369,318,31273
56032,324,32735
56657,331,34023
57333,337,35275
57936,343,36749
58505,346,37666
59023,351,37923
59487,357,38688
59945,362,40136
60382,367,41448
60713,373,42689
61095,377,44126
61475,383,45027
61790,387,45213
62118,392,46054
62424,398,47553
62698,405,48738
62997,412,49909
63270,418,50669
63554,423,50871
63804,429,51120
64003,436,51902
64224,443,52854
64411,449,53609
64604,454,54254
