confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
2,0,0
2,0,0
2,0,0
2,0,0
4,0,0
4,0,0
13,0,0
13,0,0
20,0,0
25,0,0
31,0,0
38,0,0
52,0,0
151,0,0
151,0,0
162,0,0
200,0,0
321,1,2
372,3,2
621,6,2
793,11,2
1021,15,2
1546,25,2
1924,34,2
2247,46,2
2554,59,2
2985,77,2
3417,92,5
3904,111,5
4256,136,8
4579,159,17
5717,201,17
6836,240,19
8044,324,20
9056,359,27
10360,445,30
11130,486,30
12161,564,47
14034,686,68
16170,819,79
18092,950,101
19638,1057,129
20727,1124,139
22192,1223,193
23430,1328,206
25262,1532,236
28320,1736,253
30425,1924,277
33682,2141,320
36658,2354,338
38654,2462,347
40743,2587,381
43079,2741,437
45757,2906,460
50036,3331,485
54043,3704,538
59324,4057,592
63100,4286,624
67446,4603,659
73235,5083,682
79685,5513,710
87187,6006,727
92202,6412,755
97100,6761,779
101826,7051,825
108620,7367,855
115455,7938,911
126611,8588,928
135773,9190,954
146894,10017,960
156061,10656,1059
162699,11123,1106
169594,11653,1114
178214,12461,1168
190137,13240,1228
203165,13999,1272
220291,14962,1336
233511,15662,1355
241080,16118,1436
255368,16853,1464
271885,17983,1522
291579,18859,1557
310087,20047,1596
330890,21048,1614
347398,22013,1662
363211,22666,1680
374898,23473,1696
391222,24512,1721
411821,25598,1744
438238,26754,1781
465166,27878,1803
498440,28834,1831
514849,29314,1862
526447,29937,1888
555383,31199,1910
584016,32548,1939
614941,34021,1951
645771,35026,1968
672846,35930,1968
691758,36455,1968
707412,37134,2023
739503,38406,2049
772416,39680,2063
802828,40919,2100
828810,41828,2119
850514,42720,2119
867624,43332,2119
888271,43959,2162
923189,45241,2178
955377,46510,2197
978142,47748,2219
1032913,48954,2241
1067579,49976,2241
1083341,50591,2241
1106470,51271,2270
1145906,52645,2285
1188631,53830,2297
1228114,54971,2322
1274974,55961,2338
1313667,57070,2338
1344143,57622,2338
1368195,58314,2366
1402041,59594,2402
1448753,60632,2432
1496858,61884,2515
1539081,63174,2550
1577004,64265,2550
1603055,64867,2550
1623284,65487,2598
1668589,66741,2693
1713160,67964,2769
1755779,69184,2815
1800827,70398,3037
