confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
2,0,0
2,0,0
2,0,0
2,0,0
3,0,0
15,0,0
15,0,0
20,1,0
33,1,0
40,1,0
64,2,3
75,4,3
99,4,3
114,4,3
146,4,4
152,7,8
180,9,9
207,11,11
222,12,14
246,12,17
261,14,17
282,16,20
288,16,25
302,16,30
318,16,34
345,17,37
364,18,39
384,19,42
414,23,42
443,24,48
443,24,54
484,27,62
497,27,68
497,27,71
528,30,81
542,32,105
546,32,122
557,35,141
565,36,153
576,36,161
581,38,167
600,38,170
609,39,174
616,41,190
629,41,197
629,41,197
632,42,205
635,42,206
638,42,222
641,43,243
645,43,266
649,44,276
652,44,287
662,45,308
672,46,321
688,48,342
729,48,360
736,48,384
744,48,401
748,48,422
751,49,444
760,50,461
766,51,476
773,51,499
773,51,531
780,51,545
782,51,573
796,51,598
796,51,612
796,51,646
809,52,684
812,52,727
814,52,769
814,52,808
814,52,840
832,52,862
832,52,880
845,53,912
847,53,965
847,53,1016
847,53,1064
847,53,1074
847,53,1090
881,53,1123
884,53,1206
885,53,1322
888,53,1390
888,53,1545
889,53,1548
890,53,1587
891,53,1623
891,53,1664
892,53,1688
892,53,1716
892,53,1723
894,53,1730
894,53,1784
895,53,1817
899,53,1880
899,53,1941
900,53,2008
901,53,2027
903,53,2074
903,53,2171
907,53,2217
919,53,2263
934,53,2370
941,53,2457
941,53,2475
959,53,2508
959,53,2582
962,53,2676
962,53,2722
967,53,2802
980,53,2892
987,53,2898
987,53,2915
1000,53,3000
1003,53,3037
1003,53,3166
1005,53,3229
1020,53,3308
