confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,0,0
2,0,0
2,0,0
3,0,0
3,0,0
5,0,0
7,0,0
7,0,0
7,0,0
33,0,0
35,0,0
37,0,0
51,0,0
53,0,0
84,0,0
87,0,0
91,0,0
96,0,0
96,0,0
99,0,0
99,0,0
103,0,0
107,0,0
109,0,0
109,0,0
110,0,0
114,0,0
114,0,0
114,0,0
114,0,1
115,0,1
117,0,1
119,0,1
119,0,1
120,0,1
122,0,1
122,0,1
122,0,1
122,0,1
122,0,1
122,0,1
122,0,1
122,0,1
122,0,1
122,0,1
122,0,1
122,0,1
122,0,1
122,0,1
122,0,1
122,0,1
122,0,2
122,0,2
122,0,4
122,0,18
122,0,18
122,0,33
122,0,37
122,0,37
122,0,38
122,0,38
122,0,44
122,0,56
122,0,56
122,0,58
122,0,58
122,0,61
122,0,67
122,0,67
122,0,84
122,0,84
122,0,85
122,0,85
122,0,85
123,0,95
123,0,95
124,0,142
124,0,155
124,0,155
124,0,155
124,0,155
124,0,155
124,0,155
125,0,167
125,0,193
125,0,193
125,0,237
125,0,238
125,0,239
125,0,239
125,0,240
126,0,240
126,0,266
126,0,270
126,0,294
126,0,294
126,0,294
128,0,294
128,0,301
128,0,340
128,0,354
128,0,377
129,0,377
129,0,377
129,0,377
129,0,413
130,0,419
130,0,426
130,0,479
130,0,562
139,0,568
141,0,568
141,0,570
141,0,608
141,0,629
141,0,629
141,0,629
141,0,629
141,0,654
141,0,655
141,0,722
141,0,724
141,0,730
141,0,730
141,0,730
