confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
1,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
4,0,1
10,0,1
10,0,1
13,0,1
20,0,1
27,0,1
40,0,1
56,0,1
66,0,4
75,1,10
75,1,10
91,2,11
91,2,13
139,6,21
139,6,21
193,6,23
233,6,25
306,7,34
509,8,35
555,9,50
650,9,50
658,9,53
658,9,58
730,10,63
730,10,62
820,12,72
820,12,75
820,12,77
820,12,77
848,14,91
848,17,96
996,22,98
996,22,98
1017,22,103
1017,42,105
1163,42,107
1163,43,110
1163,43,110
1334,43,110
1430,43,117
1518,53,117
1621,56,117
1705,58,119
1705,58,119
1832,61,119
1832,61,119
1832,61,120
2077,64,120
2077,64,120
2104,64,120
2104,64,120
2265,108,120
2267,108,120
2267,108,120
2274,108,120
2579,114,120
2689,125,121
2689,125,121
2800,136,121
2954,139,121
3105,140,122
3105,140,122
3105,140,122
3529,140,122
3529,140,122
3733,146,122
4288,156,122
4400,159,122
4400,159,122
4890,165,122
4890,165,122
5436,175,122
5436,175,122
5436,175,122
5436,177,122
5904,191,123
5904,191,123
6397,199,123
6585,200,123
6585,200,123
6789,203,123
7392,205,123
7599,212,123
7908,212,123
8060,212,123
8312,212,125
8681,212,125
8681,212,125
8681,212,125
8681,212,125
8681,212,125
9864,276,125
9864,276,126
9864,276,126
9864,276,126
10638,282,126
11610,301,126
11892,303,127
12041,308,127
12270,313,127
12592,313,127
12592,313,127
12592,313,129
12592,313,129
12592,313,130
12592,313,130
12592,313,130
12592,313,131
12592,313,131
12592,313,131
12592,313,131
12592,313,131
12592,313,131
14916,359,131
14916,359,131
14916,359,131
14916,359,131
