confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,7
0,0,10
0,0,13
0,0,14
0,0,17
0,0,17
0,0,18
0,0,24
0,0,33
0,0,32
0,0,33
0,0,36
0,0,44
0,0,49
0,0,53
0,0,69
0,0,86
0,0,90
0,0,97
0,0,104
0,0,106
0,0,112
0,0,134
0,0,147
0,0,161
0,0,168
0,0,176
0,0,181
0,0,192
0,0,202
0,0,210
0,0,214
0,0,217
0,0,218
0,0,223
0,0,230
0,0,234
0,0,238
0,0,241
0,0,243
0,0,243
1,0,243
1,0,248
1,0,248
1,0,250
1,0,250
3,0,250
3,0,250
3,0,250
3,0,250
3,0,250
3,0,250
3,0,250
3,0,250
3,0,250
3,0,250
3,0,250
3,0,250
3,0,250
3,0,252
8,0,252
8,0,252
8,0,252
8,0,252
8,0,252
8,0,252
8,0,252
8,0,252
8,0,252
8,0,252
11,0,252
11,0,252
12,0,252
12,0,252
12,0,252
12,0,252
12,0,252
12,0,252
14,0,252
14,0,252
16,0,252
16,0,252
16,0,252
19,0,252
19,0,252
50,0,252
50,0,252
50,0,252
72,0,252
72,0,252
72,0,252
85,0,252
85,0,252
94,0,252
94,0,252
143,0,252
143,0,252
143,0,252
143,0,252
143,0,252
143,0,252
143,0,252
301,0,252
327,0,252
327,0,252
327,0,252
366,0,252
418,0,252
436,0,252
479,0,252
552,1,252
604,1,252
652,1,252
671,1,252
702,1,252
755,1,252
874,1,252
962,1,252
1011,2,252
1069,4,252
1069,4,252
1173,4,252
1288,4,252
1451,4,252
1570,5,252
1634,5,252
1850,5,252
1850,5,252
1888,5,252
1952,5,252
2044,7,252
2057,7,252
2057,7,252
2222,7,252
2410,14,252
2564,18,252
2605,19,252
2605,19,252
2686,19,252
2808,23,252
2963,30,252
3051,37,252
3099,38,252
3244,40,252
3340,40,252
3429,45,252
3429,45,252
3613,47,252
3745,47,252
3745,47,252
3788,47,252
3918,48,252
3969,48,252
3969,48,252
4033,52,252
4071,52,252
4109,52,252
4200,52,252
4259,53,252
