confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,4
0,0,4
0,0,5
0,0,5
0,0,8
0,0,10
0,0,14
0,0,19
0,0,19
0,0,20
0,0,27
0,0,30
0,0,43
0,0,39
0,0,52
0,0,59
0,0,79
0,0,84
0,0,86
0,0,95
0,0,104
0,0,106
0,0,116
0,0,124
0,0,129
0,0,131
0,0,133
0,0,148
0,0,149
0,0,151
1,0,155
1,0,158
4,0,158
4,0,158
4,0,158
8,0,159
8,0,159
13,0,159
23,0,159
23,0,160
43,0,160
61,0,160
74,0,160
155,0,161
201,0,161
238,0,161
238,0,161
434,0,161
537,0,161
632,1,161
746,2,161
922,2,168
1142,3,168
1306,4,168
1610,5,168
1909,6,168
2139,7,168
2449,8,168
2738,12,168
3031,16,168
3404,18,162
3737,22,162
4161,27,162
4471,34,162
4815,37,162
5116,43,162
5546,48,162
5972,57,162
6501,65,162
6927,73,162
7213,80,162
7525,82,162
7917,92,162
8273,94,162
8807,105,162
9252,116,162
9730,126,162
10088,133,162
10507,139,162
10832,147,162
11296,160,162
11812,168,162
12306,174,162
12858,181,162
13331,189,162
13813,198,162
14365,207,162
14885,216,162
16023,227,162
17008,234,162
18435,247,162
19663,260,162
20643,270,162
22016,275,162
23048,281,162
24581,285,162
25972,294,162
27219,304,162
28866,312,162
30063,323,162
31721,335,162
34381,346,162
37040,368,162
39542,394,162
41428,421,162
43781,450,162
46059,478,162
49579,509,162
53617,544,162
57581,589,162
61857,630,162
65393,673,162
69102,718,162
73997,761,162
77961,806,162
82289,841,162
86943,890,162
90638,944,163
94858,997,163
99688,1054,163
105158,1113,163
108686,1188,163
113628,1275,163
118292,1356,163
122499,1448,163
127745,1541,162
134150,1637,162
138846,2264,162
142759,2283,162
148456,2475,162
154092,2648,162
160846,2870,162
167355,3101,162
174293,3323,162
179436,3362,163
184449,3383,163
220628,3615,163
225103,3841,163
231393,4093,163
236748,4295,163
242355,4479,163
246963,4502,163
250767,4505,163
254416,4731,163
259064,4903,165
263360,5068,165
267766,5347,165
271982,5509,165
275999,5575,165
279393,5688,165
282043,5753,165
284541,5920,165
288089,6051,165
291847,6192,165
295532,6308,165
298557,6384,165
301019,6434,165
303083,6573,165
306216,6682,165
309274,6781,165
