confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
3,0,0
9,0,0
9,0,0
13,0,0
22,0,0
34,0,0
54,0,3
65,0,3
93,0,3
102,0,3
128,0,4
196,0,6
231,2,6
277,3,6
378,3,10
470,4,10
491,6,10
539,6,11
608,6,11
702,10,11
798,12,25
906,16,45
1065,17,61
1161,19,67
1267,25,72
1406,32,78
1485,35,96
1579,46,121
1780,50,172
2054,54,233
2223,69,301
2473,80,346
2709,100,411
2776,109,464
2852,112,519
2979,127,642
3105,131,819
3233,144,972
3439,153,1174
3439,153,1227
3792,179,1298
3977,189,1559
4149,196,1753
4356,206,1989
4561,215,2152
4881,225,2371
5142,233,2453
5379,244,2545
5597,253,2826
5949,269,2948
6207,278,3108
6507,293,3314
7006,314,3372
7285,324,3461
7668,340,3587
7973,358,3807
8613,378,4006
8959,397,4205
9456,407,4371
10051,428,4413
10495,445,4447
11063,463,4474
11613,479,4711
12272,493,4889
12930,509,5047
13610,525,5241
14216,546,5381
14939,562,5422
15574,574,5462
16295,592,5641
16935,613,5726
17687,630,5830
18330,652,5926
19131,682,6025
20177,705,6044
21175,727,6078
21981,750,6182
23003,776,6270
24104,803,6370
24141,833,6460
25406,855,6500
26734,891,6546
27219,916,6558
29384,963,6642
30593,1014,6686
31935,1057,6749
33466,1099,6809
36759,1204,6881
36759,1204,6885
38149,1265,6891
40847,1373,6994
40847,1373,7053
42206,1439,7111
43810,1505,7166
45344,1562,7215
46994,1623,7219
48896,1670,7226
53168,1808,7296
53211,1808,7358
55083,1887,7399
57202,1955,7440
60387,2046,7473
63454,2148,7477
68836,2353,7499
71367,2426,7537
73760,2524,7555
73760,2524,7588
77313,2611,7649
80811,2786,7668
84660,2946,7682
91995,3256,7705
91995,3256,7746
95269,3376,7771
98090,3488,7797
102261,3650,7822
106392,3851,7848
109793,4001,7852
113685,4178,7864
117412,4305,7873
120281,4452,7910
124494,4606,8010
128638,4791,8128
133973,4985,8208
