confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
3,0,0
3,0,0
3,0,0
3,0,0
4,0,0
4,0,33
4,0,38
4,0,47
4,0,54
4,0,54
19,0,70
19,0,70
19,0,74
19,0,75
22,2,81
22,2,91
22,2,93
45,5,99
45,5,107
45,5,120
45,5,131
60,5,136
60,5,145
60,5,145
60,5,157
60,5,157
60,5,163
117,5,166
117,5,169
143,6,171
143,6,173
143,6,176
160,6,176
165,6,178
186,6,178
186,6,178
200,6,178
200,6,178
200,6,178
200,6,178
207,8,181
207,8,181
220,9,184
229,9,184
229,9,184
229,9,185
236,10,185
236,10,185
264,10,185
264,10,185
274,10,187
274,10,187
274,10,187
333,11,187
333,11,187
333,11,187
391,15,187
391,15,187
391,15,187
391,15,187
412,15,187
420,15,187
420,15,187
469,16,187
469,16,187
487,16,187
487,16,187
487,16,187
487,16,187
571,19,187
571,19,187
571,19,187
571,19,187
611,20,187
611,20,187
611,20,187
611,20,187
611,20,187
635,20,187
683,22,187
683,22,187
683,22,187
728,24,187
728,24,187
728,24,187
728,24,187
728,24,187
728,24,187
883,27,187
883,27,187
883,27,187
883,27,187
883,27,187
883,27,187
883,27,187
1087,37,187
1087,37,187
1087,37,187
1087,37,187
1087,37,187
1087,37,187
1087,37,187
1087,37,187
1087,37,187
1382,41,187
1382,41,187
1557,44,187
1557,44,187
1557,44,187
1557,44,187
1557,44,188
1821,47,188
1821,47,188
2028,47,188
