confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
5,0,0
6,0,0
9,0,0
9,0,0
14,0,0
14,0,0
25,0,0
73,0,0
80,0,0
96,0,0
101,0,0
101,0,0
165,1,0
168,1,0
179,1,0
190,1,0
194,1,0
218,1,8
245,1,8
261,3,9
323,3,9
349,3,9
384,3,25
444,3,25
444,3,36
533,4,36
574,5,36
626,6,41
638,6,53
638,6,71
654,6,73
688,6,76
801,8,76
847,9,102
847,9,102
916,13,112
952,14,183
1004,14,252
1077,14,330
1077,14,373
1150,14,411
1164,14,477
1183,14,498
1238,14,599
1275,14,642
1333,15,672
1362,15,686
1398,17,686
1432,17,713
1464,18,745
1516,18,755
1571,20,799
1602,20,824
1667,21,834
1700,21,847
1730,21,872
1857,21,886
1912,24,900
1971,24,905
2017,24,935
2061,25,950
2109,27,972
2119,28,1018
2153,28,1033
2231,29,1052
2301,29,1055
2341,29,1064
2366,30,1064
2376,30,1064
2423,30,1079
2477,30,1079
2556,31,1185
2641,32,1241
2750,32,1241
2799,33,1286
2833,33,1504
2951,33,1521
3024,33,1607
3110,35,1636
3262,35,1685
3431,36,1707
3557,36,1815
3739,36,1877
3881,38,2013
3995,38,2139
4181,41,2260
4404,41,2519
4684,45,2730
4848,45,2823
5084,45,2950
5439,46,3183
5679,46,3324
6063,48,3411
6444,49,3527
6874,49,3565
7276,52,3565
7492,54,3859
7677,56,3952
7904,58,3989
8164,58,4182
8334,60,4269
8739,64,4348
8944,66,4348
9101,66,4348
9214,66,4433
9499,68,4524
9702,68,4550
9992,68,4564
10244,70,4580
10462,72,4580
10772,74,4593
10966,75,4610
11194,76,4621
11504,78,4644
11750,79,4671
12052,81,4689
