confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
3,0,0
3,0,0
5,0,0
6,0,0
7,0,0
7,0,0
9,0,0
10,0,0
10,0,0
11,0,0
12,0,0
12,0,0
12,0,0
14,0,0
19,0,0
19,0,0
32,0,0
38,0,0
49,0,0
57,0,0
65,0,0
81,0,0
105,1,0
128,1,0
206,1,0
254,1,0
315,1,0
382,1,0
442,1,0
495,3,0
586,3,0
657,5,0
713,6,0
790,6,0
867,6,0
963,6,0
1011,7,0
1079,8,0
1126,12,0
1182,15,0
1222,16,1
1282,18,1
1343,19,1
1407,20,1
1495,21,5
1534,21,5
1600,23,8
1650,25,8
1704,31,8
1741,33,8
1791,35,8
1814,36,8
1832,39,8
1871,47,8
1881,47,8
1908,48,8
1950,48,9
1981,50,9
2009,51,10
2016,54,13
2030,55,13
2039,59,13
2047,63,13
2062,67,13
2076,69,13
2085,75,13
2088,77,13
2096,79,13
2101,80,13
2112,83,14
2119,85,14
2125,86,14
2161,86,14
2176,87,14
2187,90,15
2196,91,15
2207,91,15
2213,94,15
2221,94,15
2222,95,15
2224,95,15
2226,95,16
2228,95,16
2232,96,16
2234,96,16
2237,97,16
2243,99,16
2243,99,16
2244,99,16
2244,100,16
2244,101,16
2244,101,16
2245,102,16
2245,103,16
2246,103,16
2246,103,16
2246,103,16
2246,103,16
2246,103,16
2247,103,16
2247,103,16
2247,104,16
2247,104,16
2247,104,16
2247,106,16
2249,106,16
2249,106,16
2249,107,16
2251,107,16
2252,107,16
2254,107,16
2255,107,16
2258,107,16
2269,107,18
2280,107,18
2299,107,18
2317,107,18
2336,107,18
2366,107,18
2388,107,18
2483,107,18
2539,107,18
2624,107,18
2691,107,18
2725,107,18
2777,107,18
2831,108,18
2912,110,18
3008,112,18
3094,113,18
3151,113,18
3220,113,18
3272,113,18
3325,114,18
3416,115,18
3532,117,18
