confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
2,0,1
3,0,1
6,0,27
6,0,27
14,0,27
26,0,27
26,0,21
33,0,27
46,0,32
49,0,32
67,0,32
67,0,39
84,0,41
95,1,56
116,1,56
124,3,80
132,3,95
146,3,102
162,5,116
179,5,121
214,5,132
230,7,150
262,8,157
320,9,179
356,10,201
396,11,216
426,11,241
446,9,247
465,9,259
494,9,276
526,9,305
564,10,348
595,10,384
616,10,426
633,11,589
662,12,589
695,12,589
715,12,589
735,12,596
750,12,646
761,12,701
767,12,732
772,12,821
784,12,870
790,13,935
795,13,1004
804,14,1075
810,14,1114
817,14,1176
822,15,1236
837,15,1304
843,15,1335
850,15,1381
857,15,1460
864,15,1522
872,15,1562
874,15,1632
878,15,1730
883,15,1815
889,15,1887
891,15,1945
892,15,2002
898,16,2075
901,16,2172
903,16,2326
905,17,2486
907,17,2626
910,17,2799
914,17,2950
916,17,3172
917,17,3440
918,17,3742
922,17,3994
923,17,4217
927,17,4374
927,17,4628
935,17,4807
937,17,4900
939,17,5027
939,17,5205
941,17,5359
942,17,5511
944,17,5693
944,17,6037
949,17,6447
952,17,6827
958,17,7350
958,17,7756
960,17,8158
960,18,8538
964,18,8961
970,18,9375
972,18,9786
974,18,10289
975,18,10691
980,18,11108
980,18,11529
983,18,11931
985,18,12329
985,18,12730
985,18,13141
985,19,13528
985,19,13928
985,19,14327
986,19,14736
988,19,15133
990,19,15535
991,19,15935
992,19,16338
992,19,16737
994,19,17140
994,19,17539
996,19,17951
998,19,18460
999,19,18881
999,19,19288
999,19,19690
1002,19,20103
1003,19,20726
1004,19,21238
1005,19,21718
1008,19,22241
1010,19,22753
1013,19,23274
