confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
3,0,0
4,0,0
4,0,0
6,0,0
10,0,0
10,0,0
23,0,0
23,0,0
35,0,0
90,0,0
262,0,0
442,0,0
615,0,0
801,0,0
827,1,0
864,2,1
914,3,1
977,4,1
1057,4,1
1151,6,1
1255,9,1
1326,13,1
1395,13,2
1450,24,2
1591,32,7
1724,34,8
1877,41,8
2046,52,11
2201,65,20
2395,72,20
2577,77,20
2860,90,26
3107,104,33
3386,123,45
3757,139,48
4077,161,59
4369,179,62
4681,187,62
5071,203,69
5402,218,72
5635,237,83
5819,247,93
5996,260,93
6174,273,98
6318,285,102
6511,299,115
6681,309,117
6879,321,133
7073,336,145
7242,346,162
7384,355,164
7515,364,165
7695,370,169
7912,384,184
8073,394,192
8210,403,206
8445,418,228
8575,422,233
8698,427,233
8851,434,240
9008,443,236
9158,452,249
9311,460,253
9407,475,256
9523,484,259
9670,493,259
9821,503,261
9938,506,264
10083,514,273
10218,522,704
10319,526,747
10429,529,750
10513,533,751
10591,527,777
10667,533,777
10713,537,909
10791,537,923
10858,543,934
10927,547,938
10968,548,938
11044,551,938
11117,554,956
11182,561,1488
11230,561,1508
11289,561,1526
11360,562,1532
11387,563,1538
11428,563,1552
11480,565,1561
11512,568,1574
11593,568,1610
11633,571,1622
11669,574,1624
11699,576,1625
11734,580,1632
11771,580,1650
11811,582,1663
11875,586,1667
11924,587,1675
11948,589,1681
11962,593,1683
12001,593,1684
12016,593,1690
12035,593,1697
12099,594,1703
12139,597,1705
12193,597,1705
12217,598,1717
12250,598,1728
12294,598,1743
12344,600,1748
12391,600,1755
12391,600,1758
12391,600,1764
12527,602,1765
12561,603,1771
12615,603,1783
12636,603,1790
12675,604,1797
12675,604,1812
12675,604,1818
12751,605,1818
12768,605,1829
12794,606,1836
12815,606,1842
12832,606,1859
12832,606,1870
12832,606,1874
12878,607,1875
12888,609,1880
12900,609,1882
12916,609,1889
12946,609,1894
