confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
3,0,0
3,0,0
11,0,0
11,0,0
12,0,0
14,0,0
18,0,0
18,0,0
30,0,0
33,0,0
40,0,0
49,0,0
50,0,0
59,0,0
90,0,4
90,0,4
135,0,7
135,0,7
150,1,7
187,2,7
214,2,7
298,2,7
363,2,8
435,2,8
591,2,8
732,2,8
732,2,8
846,2,8
846,2,8
945,2,8
974,2,8
986,2,8
999,2,10
1008,2,10
1023,2,10
1035,2,10
1072,2,10
1077,2,10
1089,2,12
1097,2,12
1112,2,12
1112,2,12
1116,2,12
1120,2,12
1124,3,12
1133,3,12
1135,3,12
1189,3,14
1210,3,27
1227,3,28
1256,3,28
1268,3,48
1284,3,51
1309,4,66
1331,4,72
1401,4,73
1518,7,78
1618,7,87
1828,9,97
2047,10,112
2270,10,119
2270,10,119
2270,10,156
2468,14,158
2468,14,164
2697,18,168
2914,20,168
2914,20,168
3194,22,168
3354,24,189
3569,24,194
3779,25,198
3935,26,201
4054,26,201
4123,26,221
4169,26,224
4207,28,225
4278,31,229
4331,34,232
4373,34,236
4398,37,238
4441,38,246
4449,41,247
4465,43,249
4501,43,249
4539,43,259
4545,43,262
4557,43,267
4565,45,276
4565,45,285
4582,45,285
4599,48,291
4617,49,319
4630,52,331
4635,52,347
4643,52,367
4643,52,370
4643,52,372
4656,53,380
4682,54,408
4704,55,418
4715,55,452
4736,55,515
4736,55,535
4792,55,547
4822,55,564
4878,55,570
4889,55,588
4955,56,609
4968,56,633
