confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,0,0
2,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
11,0,0
11,0,0
11,0,0
21,1,0
21,1,0
34,2,0
72,2,0
112,2,0
202,3,4
245,3,4
312,6,0
392,10,0
488,10,0
581,20,0
719,28,1
859,39,1
901,42,4
1109,51,2
1284,57,2
1380,60,3
1488,68,3
1488,68,4
1745,82,4
1828,86,4
1956,98,4
2111,108,4
2349,118,4
2620,126,4
2759,135,10
2967,173,10
3167,177,14
3286,183,14
3614,189,15
3755,196,15
4126,200,15
4335,217,16
4680,226,16
4964,235,16
5044,245,16
5300,260,21
5543,265,21
5749,267,25
5926,273,29
6135,278,41
6293,282,50
6416,286,50
6652,293,58
6972,301,59
7288,313,66
7578,326,69
7954,333,75
8235,346,75
8480,354,91
8807,362,93
9095,373,93
9376,380,95
9882,385,97
10347,388,99
10634,393,105
10900,402,106
11196,409,108
11320,422,108
11739,424,112
12110,428,113
12314,428,113
12725,434,116
13223,441,120
13477,446,122
13657,448,123
13989,456,128
14422,458,151
14801,458,152
15073,460,159
15264,468,167
15723,474,181
16068,485,191
16531,488,197
16908,498,208
17285,502,209
17572,502,217
17752,515,231
18040,516,246
18319,520,250
18708,525,262
19195,536,281
19600,538,344
20126,539,361
20415,544,379
20808,550,401
21437,561,434
22008,568,451
22572,577,495
22962,592,545
23271,605,620
23686,615,738
24105,633,849
24645,635,934
25068,647,1029
25778,655,1122
26677,662,1213
27370,669,1297
27936,675,1412
28631,691,1486
29141,698,1544
29764,712,1688
30619,718,2015
31373,726,2132
31816,733,2430
32568,747,2430
33387,754,2430
34197,765,2430
35148,775,2430
36184,786,2430
37425,794,2430
38128,804,2430
38430,821,2430
39588,829,2430
40790,842,2430
41915,864,2430
