confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
6,0,0
6,0,0
7,0,0
10,0,0
13,0,0
13,0,0
13,0,0
14,0,0
15,0,0
15,0,0
17,0,0
17,0,0
17,0,0
28,2,0
28,2,0
37,2,0
58,2,0
111,2,0
199,3,0
367,5,0
506,7,0
789,14,0
981,18,0
1082,27,0
1173,28,0
1403,34,0
1595,36,0
1823,48,0
1924,58,0
1962,60,0
2240,75,0
2748,93,0
3163,120,0
3368,145,0
3465,172,0
3646,180,0
3747,191,0
3747,191,0
4450,242,0
4965,272,0
7161,297,0
7257,315,0
7466,333,0
7529,355,0
7603,369,0
7858,388,0
8225,403,0
8450,421,0
9022,456,0
9468,474,0
10128,507,3
10398,520,3
10850,537,8
11183,560,8
22719,576,10
22719,576,10
22719,576,12
23240,663,12
24258,871,12
24675,883,12
24934,900,12
26336,1063,12
27464,1371,14
29538,1564,14
31881,1569,14
31881,1569,14
31881,1618,14
30298,1654,14
28818,1704,14
29071,1717,14
29559,2127,14
29509,2145,14
30419,2327,14
30486,2334,14
30502,2338,14
31467,2594,15
32763,2688,15
33182,2736,15
33582,2799,15
34151,2839,15
34854,2888,15
35306,2939,15
35828,3056,15
36258,3096,15
36756,3108,15
37355,3203,15
37355,3203,15
38103,3275,15
38471,3313,15
38571,3334,15
38571,3334,15
39098,3358,15
39098,3358,15
40414,3438,15
40966,3486,15
40966,3486,18
41575,3534,18
42728,3608,18
43120,3621,18
43378,3642,18
43917,3690,18
44440,3720,18
44440,3720,18
45778,3828,18
46356,3874,18
46751,3896,18
47322,3929,18
47943,3970,18
48490,4007,18
49097,4087,18
49731,4156,18
49731,4156,18
50640,4223,18
50640,4223,18
51643,4274,18
51643,4274,18
53156,4343,18
53856,4406,18
54574,4424,18
55255,4429,18
55665,4502,18
56432,4527,18
58257,4576,18
59468,4639,18
60657,4700,18
61535,4769,18
61958,4781,18
62380,4821,18
63245,4873,18
63245,4873,18
64221,4900,18
65018,4939,18
