confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
2,0,1
2,0,1
2,0,1
2,0,1
3,0,1
15,0,1
15,0,1
49,1,1
55,1,1
59,1,1
60,1,1
67,1,1
80,2,1
109,2,1
110,2,10
150,2,10
196,4,10
196,6,10
256,6,10
285,8,10
294,10,10
327,14,10
366,19,10
402,20,10
456,21,10
495,24,10
536,30,10
576,36,10
609,40,10
656,41,10
710,46,10
779,52,10
865,58,300
985,66,300
1070,71,300
1173,78,300
1322,85,300
1450,94,300
1560,103,300
1699,118,300
1794,135,300
1939,146,300
2065,159,300
2190,164,300
2350,178,300
2505,183,300
2673,196,1700
2844,205,1700
3032,224,1700
3144,239,1700
3333,250,2000
3490,264,2000
3659,276,2000
3891,287,2000
4092,294,2500
4319,307,2500
4534,317,2500
4782,337,2500
5042,359,2800
5268,380,2800
5537,392,3000
5895,406,3000
6193,415,3000
6465,429,3000
6813,436,3500
7201,452,3500
7588,469,3500
7981,482,3500
8476,503,4000
8964,514,4000
9400,525,4000
9746,533,4000
10093,544,4300
10431,556,4300
10829,571,4300
11228,592,5000
11719,612,5000
12229,630,5000
12764,645,5000
13484,659,5000
14229,680,4800
15003,696,4800
15786,707,4800
16513,735,4800
17265,764,4800
17967,783,5100
18756,797,5100
19666,816,5100
20793,845,5500
22082,879,5500
23449,913,5500
24985,959,5500
26384,1005,5500
27536,1052,5500
28615,1088,5500
29767,1126,5800
31115,1166,5800
32612,1198,5800
34079,1237,5800
35444,1271,5800
36829,1306,5800
38284,1342,5800
39726,1377,6200
41303,1422,6200
42980,1484,6200
44598,1575,6200
46289,1672,6200
47856,1766,6200
49219,1850,6200
50437,1938,6200
52211,2017,6200
53758,2106,6200
55233,2193,6200
56809,2278,6400
58141,2365,6400
59561,2450,6600
61130,2533,6600
62755,2620,6600
63923,2708,6600
65188,2789,6600
66754,2872,6600
68311,2953,6600
69814,3034,6700
71299,3120,6700
72711,3201,6700
74035,3280,6700
75253,3343,6700
76222,3422,6700
77279,3489,6700
78304,3564,6800
79254,3617,6800
80235,3702,6800
