confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,0,0
2,0,0
3,0,0
10,0,0
10,0,0
10,0,0
10,0,0
12,0,0
16,0,0
16,0,0
79,0,0
115,0,0
171,0,0
205,0,0
225,0,0
258,0,0
267,0,0
283,0,0
306,0,0
326,0,0
352,0,0
369,0,0
404,1,0
538,1,0
575,1,0
645,1,0
679,3,0
715,3,0
745,4,27
779,5,27
858,11,27
961,12,27
1039,13,27
1097,15,50
1108,19,50
1149,21,50
1185,24,50
1207,24,50
1258,24,50
1304,24,50
1309,25,50
1332,28,50
1373,31,50
1400,35,73
1434,36,73
1459,38,73
1512,38,73
1528,40,73
1535,40,73
1552,43,73
1559,44,73
1592,45,73
1605,46,77
1635,46,77
1643,49,77
1647,50,77
1660,50,83
1666,50,83
1689,52,83
1694,52,83
1699,53,83
1700,55,83
1703,55,83
1711,55,83
1713,55,83
1720,56,83
1725,56,83
1733,60,83
1739,60,83
1741,61,83
1746,61,91
1751,61,91
1758,62,91
1766,63,91
1770,63,91
1774,63,91
1784,64,91
1791,64,91
1794,64,91
1800,64,91
1807,64,91
1821,64,91
1823,64,91
1824,65,91
1834,65,91
1840,66,91
1851,66,91
1859,67,98
1865,67,98
1869,68,98
1870,68,98
1870,68,98
1880,69,98
1890,69,98
1910,69,98
1931,69,98
1939,69,98
1940,69,98
1947,69,98
1958,69,98
1965,69,98
1970,69,98
1973,69,98
1973,69,98
1974,69,98
1975,69,98
1977,69,98
1977,69,98
1979,69,98
1981,69,98
1981,69,98
1981,69,98
1982,69,98
1983,69,98
1984,69,98
1986,69,98
1986,69,98
1987,69,98
1987,69,98
1989,69,98
1989,69,98
1990,69,98
1991,69,98
1993,69,98
1993,69,98
1994,69,98
1995,69,98
2003,69,98
2011,69,98
2013,69,98
