confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
2,0,0
3,0,0
4,0,1
5,0,1
5,0,1
5,0,1
5,0,1
5,0,1
5,0,1
5,0,1
5,0,40
7,0,40
7,0,40
12,0,40
12,0,40
14,0,40
15,0,40
15,0,40
15,0,40
16,0,40
16,0,40
16,0,40
16,0,40
16,0,40
16,0,237
17,0,237
17,0,237
17,0,237
17,0,237
18,0,237
18,0,238
18,0,238
18,0,238
18,0,300
18,0,300
18,0,300
18,0,300
18,0,300
18,0,300
18,0,300
18,0,300
18,0,300
18,0,300
18,0,300
18,0,300
18,0,300
18,0,354
18,0,354
18,0,354
18,0,354
18,0,354
18,0,354
18,0,354
18,0,354
18,0,354
18,0,354
18,0,354
18,0,354
18,0,354
18,0,411
18,0,411
18,0,411
18,0,411
18,0,411
18,0,411
18,0,411
18,0,411
18,0,411
18,0,411
18,0,411
18,0,411
18,0,411
18,0,411
18,0,411
18,0,411
18,0,411
18,0,411
18,0,411
18,0,447
18,0,447
18,0,447
18,0,447
18,0,460
18,0,460
18,0,460
18,0,460
18,0,460
18,0,460
18,0,460
18,0,460
18,0,460
18,0,460
18,0,460
18,0,460
18,0,460
18,0,460
18,0,460
18,0,472
18,0,472
18,0,472
18,0,472
18,0,472
18,0,472
18,0,472
18,0,472
19,0,472
21,0,472
21,0,472
21,0,472
26,0,472
26,0,472
