confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,1,0
3,1,0
3,1,0
3,1,0
3,1,0
3,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
9,1,0
9,1,0
9,1,0
9,1,0
9,1,0
9,1,0
9,1,0
9,1,0
10,1,3
10,1,3
10,1,3
10,1,3
10,1,3
10,1,3
10,1,3
10,1,3
10,1,18
10,1,18
10,1,19
11,1,19
12,1,19
17,1,19
17,1,19
17,1,19
17,1,19
17,1,24
18,1,25
20,1,25
20,1,25
20,1,26
22,1,26
22,1,26
23,1,26
23,1,26
23,1,26
23,1,26
23,1,26
24,1,38
24,1,42
24,1,42
24,1,42
25,1,42
25,1,42
25,1,42
25,1,42
25,1,42
25,1,42
25,1,42
25,1,42
25,1,42
25,1,42
25,1,53
25,1,53
26,1,53
26,1,53
26,1,153
26,1,153
26,1,153
28,1,153
28,1,153
28,1,153
28,1,153
28,1,153
28,1,153
28,1,153
30,1,153
34,1,153
34,1,153
36,1,153
36,1,153
37,2,153
37,2,153
41,2,191
42,2,191
42,2,191
43,2,191
43,2,191
44,2,317
45,2,317
47,2,317
49,2,317
49,2,317
55,2,317
55,2,676
57,2,676
57,2,676
61,3,760
61,3,760
61,3,760
63,3,760
64,3,773
