confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
4,0,0
4,0,0
4,0,0
5,0,0
8,0,0
10,0,0
12,0,0
12,0,0
12,0,0
12,0,0
13,0,0
13,0,0
14,0,0
14,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,0,0
17,0,0
27,0,0
46,0,0
48,0,0
79,0,0
130,0,0
159,0,0
196,0,0
262,0,0
482,0,0
670,0,0
799,0,0
1040,0,0
1176,2,0
1457,2,0
1908,3,0
2078,3,0
3675,7,0
4585,9,0
5795,11,0
7272,17,0
9257,24,0
12327,28,0
15320,44,0
19848,67,0
22213,84,0
24873,94,0
29056,123,0
32986,157,0
37323,206,0
43938,267,0
50871,342,0
57695,433,0
62095,533,1
66885,645,1
71808,775,1
77872,920,1
84794,1107,1
91159,1275,1
96092,1444,1
100123,1584,1
103374,1810,0
107663,2016,0
113296,2349,0
118181,2607,0
122171,2767,0
124908,2736,0
127854,3022,0
130072,3194,0
131359,3294,0
134753,3804,0
137698,4052,0
141397,4352,0
143342,4459,0
145184,4586,0
147065,4862,0
148291,5033,0
150648,5279,2
153129,5575,2
154999,5760,2
156513,5877,6
157770,5976,7
158758,6126,8
159912,6314,8
161539,6467,8
163009,6623,8
164077,6736,10
164967,6812,10
165664,6866,10
166152,6993,10
167007,6993,10
168162,7275,10
169430,7392,16
170588,7510,17
171324,7549,17
171879,7569,17
172576,7661,17
173171,7738,17
174098,7861,17
174478,7884,18
175233,7897,29
175752,7938,29
176369,7962,21
176551,8003,21
177778,8081,21
178473,8144,21
179021,8203,21
179710,8228,22
179986,8261,22
180328,8283,22
180600,8309,22
181200,8372,22
181524,8428,22
182196,8470,22
182922,8504,22
183189,8530,24
183410,8540,24
183594,8555,24
183879,8563,24
184121,8602,24
184472,8635,24
184924,8658,24
185450,8673,24
185750,8685,24
186109,8695,24
186506,8736,24
186522,8752,24
186691,8772,24
187226,8783,24
187267,8793,24
187518,8801,24
187682,8807,24
188252,8820,24
188604,8851,24
189817,8875,24
190299,8887,24
190670,8895,24
191272,8895,24
191768,8899,24
192480,8914,436
192871,8928,512
193371,8940,512
194036,8965,641
194458,8968,706
194693,8968,706
195042,8976,839
195418,8990,931
195893,8995,1032
196370,9006,1141
196780,9010,1286
197198,9020,1408
197523,9023,1549
198064,9022,1824
198343,9032,2080
198699,9046,2181
199001,9057,2181
199332,9063,2590
