confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3,0,0
6,0,0
6,0,0
7,0,0
7,0,0
11,0,0
16,0,0
19,1,0
23,1,0
27,2,0
53,2,0
93,4,0
132,4,0
137,4,0
141,5,0
152,5,0
152,5,0
161,5,0
195,5,0
204,5,0
205,5,0
205,5,0
214,5,0
214,5,0
287,5,0
313,6,2
378,6,2
378,6,2
408,8,2
566,8,2
566,8,2
636,8,2
636,8,2
641,8,2
641,8,2
834,9,2
1042,9,2
1042,9,2
1042,9,2
1154,9,2
1154,9,2
1279,10,2
1279,10,2
1550,11,2
1550,11,2
1671,16,2
1671,16,2
2074,17,2
2074,17,2
2169,18,2
2169,18,2
2719,18,2
2719,18,2
3091,18,2
3091,18,2
4012,18,2
4263,22,2
4263,22,2
4700,22,2
5127,22,2
5408,24,2
5530,24,2
5638,28,2
5735,29,2
5735,29,2
5735,29,2
6096,31,2
6269,31,2
6269,31,2
6486,31,2
6617,31,2
6683,32,2
6808,32,2
7117,34,2
7303,34,2
7303,34,2
7616,34,2
7768,35,2
8070,36,2
8070,36,2
8297,38,2
8548,38,2
8885,38,2
9168,42,2
9462,44,12
9638,44,12
9910,48,12
10201,48,12
10201,48,12
10358,48,12
10856,48,12
11118,48,12
11964,54,12
11964,54,12
12193,58,12
12590,66,12
12929,66,12
13203,70,12
13717,85,12
14154,85,12
14154,85,12
14568,95,12
15013,95,12
15473,95,12
15834,103,12
16431,103,12
16742,112,12
17351,112,12
17741,112,12
18134,117,12
18134,117,12
19388,117,12
19388,117,12
20085,122,12
21077,129,12
21968,129,12
22822,129,12
23463,129,12
23834,135,12
