confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,1
1,0,1
2,1,1
6,1,2
6,1,2
9,1,2
12,1,2
17,1,7
19,1,16
20,1,16
21,1,21
24,1,21
25,1,28
28,1,34
34,1,34
34,1,34
36,1,34
38,1,37
39,1,40
47,1,42
50,1,43
61,2,58
61,2,66
70,3,67
77,3,71
87,3,94
95,3,96
126,3,112
137,3,115
155,5,118
156,5,120
167,5,122
180,5,192
196,5,199
214,7,207
235,7,231
257,7,250
289,7,267
294,7,287
316,8,295
384,11,390
430,11,458
473,13,458
500,15,485
530,15,498
530,15,516
557,16,536
599,16,581
644,16,609
688,17,625
703,17,629
730,19,630
763,19,709
798,21,759
832,23,801
900,24,865
967,24,904
1052,26,933
1114,26,958
1199,27,1007
1342,29,1102
1518,29,1169
1643,30,1287
1763,33,1371
1763,33,1396
1912,35,1400
2133,43,1412
2265,45,1454
2512,48,1509
2743,51,1587
3054,55,1655
3424,58,1690
3760,59,1711
3954,63,1836
4145,68,1856
4348,80,1996
4607,90,2024
4739,102,2142
5087,108,2147
5336,116,2156
5586,123,2160
5760,143,2190
6154,158,2205
6485,216,2245
6792,230,2279
7055,252,2279
7502,267,2284
7866,289,2324
8221,316,2355
8561,334,2391
8982,351,2447
9491,367,2476
9845,384,2482
10272,399,2485
10706,418,2516
11251,432,2547
11868,449,2564
12509,483,2581
12755,514,2585
13145,531,2589
13769,547,2590
14540,582,2600
14819,601,2618
15619,623,2640
15828,672,2663
16397,706,2681
16930,727,2685
17409,746,2685
18096,773,2692
19011,817,2714
20072,843,2721
21293,880,2752
22501,920,2784
23248,947,2811
23972,981,2860
24787,1004,2874
25411,1053,2885
26658,1092,2887
27619,1139,2941
