confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
1,0,1
1,0,1
1,0,8
1,0,0
1,0,0
1,0,5
1,0,5
1,0,5
2,0,22
2,0,36
4,0,36
4,0,51
4,0,56
4,0,82
8,0,97
8,0,114
16,0,135
22,0,157
22,0,198
30,0,225
52,0,284
73,0,309
111,0,396
121,0,428
128,0,460
144,0,559
164,0,633
194,0,688
212,0,751
250,0,841
250,0,889
319,0,933
363,0,989
404,1,1077
438,1,1144
477,3,1224
518,3,1291
579,5,1291
622,5,1362
688,6,1417
761,6,1462
862,6,1509
954,6,1542
996,7,1570
996,7,1608
1163,7,1624
1240,7,1636
1351,7,1656
1495,7,1670
1537,7,1689
1586,7,1706
1586,7,1717
1710,9,1723
1811,10,1733
1856,11,1750
1927,11,1755
2009,11,1765
2042,11,1773
2146,11,1773
2146,11,1773
2298,11,1776
2374,14,1780
2473,15,1780
2473,15,1782
2658,16,1786
2658,16,1786
2796,16,1786
2863,18,1789
2863,18,1789
3067,18,1790
3067,19,1791
3176,20,1791
3275,20,1791
3275,20,1791
3275,20,1792
3275,20,1792
3553,22,1792
3656,22,1794
3706,23,1794
3706,23,1794
3844,23,1794
3886,23,1794
3933,23,1794
3991,23,1794
4060,23,1794
4117,23,1794
4117,23,1794
4216,23,1794
4258,23,1794
4258,23,1794
4372,23,1794
4426,24,1794
4484,25,1794
4532,25,1796
4572,26,1796
4639,26,1796
4668,26,1797
4841,26,1801
4904,27,1801
4960,27,1805
4988,27,1805
4988,27,1805
5040,28,1806
5174,29,1806
5174,29,1811
5260,29,1813
5291,30,1814
5342,31,1816
5351,31,1818
5391,33,1819
5404,33,1823
5450,33,1828
5521,33,1832
5570,34,1833
5610,34,1833
5610,34,1840
5636,34,1847
5697,34,1850
5881,36,1854
5969,37,1859
