confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
0,0,4
0,0,4
1,1,4
1,1,4
1,1,4
4,1,13
4,1,13
7,1,14
7,1,14
7,1,15
7,1,20
7,1,23
19,1,27
20,1,27
5,1,40
5,1,43
5,1,45
5,1,73
8,1,84
8,1,95
8,1,102
12,2,123
19,2,148
19,4,191
23,4,192
23,4,229
24,4,229
31,4,375
33,5,421
37,6,506
37,6,620
37,6,774
45,6,969
45,6,1080
45,6,1181
47,6,1359
55,6,1432
55,6,1768
63,6,2041
63,6,2463
65,7,2854
65,7,3273
66,7,3975
67,7,4370
70,7,5012
73,7,5498
73,7,5939
74,8,6523
74,8,7137
74,8,7747
78,8,8437
82,9,9068
82,9,10007
82,9,10819
82,9,11775
92,9,12847
93,10,14142
93,10,15331
93,10,16776
94,10,17887
94,10,19301
104,10,20969
109,10,22549
113,10,24420
113,10,26400
113,10,27969
116,10,30258
117,10,34224
117,10,36795
124,10,39233
125,10,42309
125,10,45422
127,10,48553
127,10,51824
127,10,54385
135,10,57692
137,11,60706
139,11,64277
139,11,67749
150,11,70920
150,11,82627
152,12,86936
153,12,91852
153,12,95754
153,12,100285
153,12,104071
153,12,108450
153,12,113233
154,12,118695
154,12,123848
154,12,129095
156,12,134670
156,12,135206
158,12,147195
159,12,154330
159,12,162379
159,12,169798
159,12,180013
171,12,186935
171,12,194325
183,12,204711
183,12,213831
183,12,227728
184,12,237196
205,12,248190
206,12,258685
209,12,271697
215,12,285637
215,12,295881
230,12,309713
230,12,321723
235,12,334822
245,12,347912
248,13,359860
250,14,379892
256,14,394227
272,14,409083
273,15,424433
273,15,439934
284,16,456831
284,16,476378
286,16,495513
290,16,515386
