confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,3
0,0,3
2,0,15
2,0,15
2,0,24
2,0,26
3,0,26
6,0,26
8,0,32
9,0,43
12,0,43
24,0,49
24,0,51
26,0,57
30,0,57
30,0,75
36,0,103
52,1,105
68,1,122
95,1,131
110,3,143
139,7,152
141,7,170
172,10,182
219,14,202
222,15,226
264,15,259
268,22,279
298,22,344
305,22,373
312,22,452
343,23,496
382,23,550
392,24,601
393,25,640
397,25,717
407,26,766
419,31,812
426,35,856
442,41,906
457,46,953
472,46,1009
477,46,1043
494,46,1096
510,46,1146
519,47,1171
591,55,1204
627,59,1224
627,59,1263
661,61,1286
702,64,1319
738,66,1346
771,71,1375
804,75,1414
1010,76,1473
1055,82,1490
1178,83,1544
1270,93,1571
1461,99,1602
1685,105,1626
1771,107,1661
1830,108,1702
1972,108,1734
2100,116,1790
2080,121,1903
2255,123,1966
2318,133,2028
2460,134,2089
2565,138,2126
2646,142,2218
2798,146,2310
2955,147,2366
2955,147,2438
3204,156,2483
3477,167,2532
3477,167,2585
3950,180,2738
4189,182,2811
4401,188,2852
4640,194,2904
4752,196,2971
4752,196,3044
5094,201,3110
5202,212,3156
5362,217,3275
5527,225,3508
5690,234,4095
5880,243,4338
5971,248,4573
6155,250,4904
6327,258,5186
6450,262,5572
6935,271,5831
7360,290,6214
7669,294,6568
8132,306,6868
8455,310,7515
8858,312,8121
9178,322,9271
9656,330,9862
10299,336,10770
10739,343,11333
11258,349,12205
12306,358,13211
12769,363,13935
13356,395,14785
13943,405,15753
14571,417,16814
15366,426,18051
15994,471,18859
17007,479,19938
18082,479,21122
18818,485,22974
19558,497,24760
20262,542,26267
21120,591,27912
22116,605,29600
22921,629,31077
23943,639,33017
24665,656,34741
25428,677,36252
25978,694,37879
26384,704,39502
27053,750,41380
