confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
1,0,1
1,0,1
3,0,1
6,0,1
11,0,1
26,0,1
34,0,1
43,0,2
50,0,2
50,0,2
58,0,2
69,0,4
85,0,4
103,0,4
134,0,4
156,0,4
171,5,4
180,0,4
220,1,11
250,1,11
330,1,11
409,0,14
473,1,36
568,1,37
588,1,37
648,2,53
737,2,58
802,2,68
890,2,79
963,2,89
1020,2,132
1086,2,161
1135,2,224
1220,2,241
1319,4,338
1364,4,403
1417,4,427
1486,4,477
1562,6,585
1586,6,770
1616,6,801
1648,6,1011
1675,7,1183
1689,8,1341
1701,8,1627
1711,8,1855
1720,8,2195
1727,8,2563
1739,8,2818
1754,9,3126
1760,9,3456
1771,9,3754
1773,10,4049
1778,10,4507
1785,10,5215
1789,10,5611
1789,10,6003
1790,10,6435
1792,10,6731
1792,10,7200
1795,10,7746
1797,10,8233
1797,10,8561
1798,10,9156
1798,10,9593
1799,10,9749
1799,10,10064
1799,10,10465
1799,10,10637
1801,10,10873
1801,10,11229
1801,10,11376
1801,10,11430
1801,10,11843
1801,10,12083
1802,10,12232
1802,10,12521
1802,10,12587
1802,10,12855
1802,10,12942
1802,10,13253
1802,10,13435
1803,10,13504
1803,10,13724
1803,10,13915
1804,10,14090
1804,10,14153
1804,10,14307
1804,10,14457
1805,10,14570
1805,10,14679
1805,10,14776
1806,10,14811
1806,10,14812
1806,10,14878
1806,10,14940
1806,10,14983
1806,10,15013
1806,10,15026
1806,10,15042
1807,10,15091
1807,10,15102
1807,10,15159
1807,10,15168
1807,10,15250
1807,10,15288
1808,10,15357
1810,10,15375
1810,10,15415
1812,10,15449
1815,10,15459
1816,10,15518
1819,10,15586
1822,10,15586
1823,10,15694
1823,10,15761
1824,10,15869
1824,10,15940
1830,10,16007
1832,10,16872
1836,10,17002
1838,10,17074
1840,10,17218
1842,10,17341
1847,10,17452
1850,10,17547
1855,10,17669
1860,10,17816
1863,10,17950
1866,10,18056
1873,10,18227
1880,10,18338
1882,10,18452
1886,10,18613
