confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
2,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,1
3,0,2
3,0,1
3,0,1
3,0,3
3,0,45
3,0,46
3,0,46
3,0,83
5,0,149
5,0,160
28,0,276
30,0,414
31,0,523
34,0,589
39,0,622
43,0,724
56,0,724
62,1,1045
73,1,1045
82,2,1439
102,2,1966
113,2,2335
119,2,2749
142,3,2941
156,3,4025
194,4,4440
244,5,4440
330,4,6072
396,7,7024
499,10,7024
536,10,8326
657,12,9362
727,20,10361
887,20,10950
987,24,12384
1024,27,13030
1251,32,14620
1397,35,15729
1998,58,16847
2543,72,18278
2567,72,19758
3082,86,20996
3588,99,21815
4778,136,22837
5311,150,24392
5916,178,26491
6725,226,28470
7598,246,30455
8446,288,32534
9205,331,34211
10453,358,35435
11487,393,37130
12322,405,38092
13430,448,40164
14352,486,42727
15722,521,44927
17615,559,47055
18539,592,48877
20080,645,51600
21370,681,54543
23077,721,57576
24530,780,60498
26283,825,63120
27890,881,64928
29451,939,66624
31324,1008,68941
33062,1079,71252
34863,1154,75945
37257,1223,78249
39699,1323,79914
42505,1391,81654
46437,1566,82879
49400,1693,85231
52987,1785,93245
56351,1889,96276
59695,1985,99023
62808,2101,103031
67161,2212,105186
70768,2294,106587
74292,2415,109039
78055,2551,112541
81997,2649,115288
85784,2753,120205
90648,2871,122810
95698,3025,125176
100328,3156,127326
106475,3302,129401
112028,3434,132282
118226,3584,134560
124794,3726,136720
131423,3868,138840
138536,4024,140479
144950,4172,141981
150793,4344,144658
158086,4534,147101
165386,4711,150604
173491,4980,152844
181827,5185,155633
190609,5408,157507
198370,5608,158355
207191,5829,160092
216824,6088,160938
226713,6363,161895
236184,6649,163781
246622,6946,165078
257486,7207,165837
265928,7473,166584
276146,7750,168646
286605,8102,169939
297535,8498,171338
308993,8884,173085
320922,9195,174865
332424,9520,176370
343091,9900,177010
354065,11903,178526
366946,12237,179455
380532,12573,180544
395048,12948,181907
410451,13254,182453
425282,13699,182893
440215,14011,183426
456183,14476,184585
473105,14894,186111
490401,15301,186725
508953,15685,187615
528859,16095,188584
548318,16475,188891
566840,16893,189196
585481,17400,190248
604641,17834,190717
625544,18213,191083
648315,18655,191467
673165,19268,191944
697413,19693,192108
719664,20159,192241
742417,20642,192815
767296,21129,193640
793802,21604,193978
820916,22123,194273
