confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
2,0,0
6,0,0
6,0,0
18,0,0
18,0,0
19,0,0
21,0,0
34,0,0
43,1,0
43,1,0
90,1,0
129,2,0
129,2,0
169,2,0
223,2,0
292,2,0
557,3,0
683,3,0
785,3,0
906,4,0
1125,6,0
1329,7,0
1564,9,0
1819,19,2
2121,22,3
2415,36,16
2615,46,20
2910,54,21
3235,71,24
3447,85,26
3849,98,27
4273,120,29
4604,137,36
4994,158,42
5364,174,46
5709,210,51
6074,235,54
6574,263,60
8089,287,64
8928,320,81
9655,334,99
10647,365,138
11479,406,203
12547,444,240
13271,486,277
13980,530,347
14758,571,377
15251,610,400
15652,687,447
16040,730,489
16671,769,515
17607,794,560
18184,1014,604
18561,1063,646
19262,1087,682
19648,1102,720
19877,1159,774
20253,1190,819
20612,1232,866
20833,1265,922
21176,1286,985
21506,1303,1084
21772,1319,1173
21983,1339,1279
22248,1375,1408
22385,1403,1518
22541,1429,1631
22760,1446,1776
22996,1458,1941
23135,1467,2074
23242,1488,2223
23401,1497,2408
23827,1506,2531
23956,1518,2707
24048,1533,2980
24112,1543,3256
24200,1547,3469
24251,1561,3598
24315,1571,3734
24391,1583,3843
24506,1592,4096
24582,1604,4214
24639,1608,4352
24698,1606,4515
24735,1615,4613
24803,1631,4768
24841,1639,4900
24876,1645,5057
24929,1651,5220
24990,1652,5404
25062,1650,5587
25066,1658,5941
25111,1659,6240
25142,1664,6606
25163,1670,6903
25183,1678,7135
25201,1679,7376
25207,1683,7376
25215,1691,8015
25231,1695,8345
25238,1703,8593
25250,1705,8829
25295,1705,8829
25303,1706,9188
25321,1706,9388
25334,1709,9647
25341,1710,9920
25355,1714,10065
25368,1714,10411
25374,1715,10671
25379,1715,10897
25383,1717,11158
25391,1720,11514
25396,1726,11882
25405,1727,12220
25414,1730,12548
25437,1734,12738
25439,1735,12933
25462,1735,13008
25473,1736,13558
25477,1738,14059
25489,1738,14777
25498,1740,15276
25509,1741,15556
25527,1741,15860
25531,1741,15860
25538,1742,16298
25542,1738,35137
25565,1743,35137
25589,1744,32500
