confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,0,0
3,0,0
4,0,0
7,0,0
10,0,0
10,0,0
12,0,0
15,0,0
20,0,0
37,0,0
43,0,0
61,0,0
61,0,0
75,0,0
79,0,0
100,0,0
126,0,0
155,0,0
213,0,0
218,0,0
250,0,0
304,0,0
427,0,0
529,0,0
712,1,0
883,1,0
1071,1,0
1238,3,0
2369,5,1
2693,8,1
3035,12,1
3619,12,1
4247,15,1
4695,16,1
5358,20,1
6092,26,3
6857,36,4
7428,40,4
7851,44,4
8430,49,4
8904,57,4
9248,65,7
9404,73,9
9968,86,12
10408,95,22
10743,101,24
11145,103,25
11586,116,40
12046,123,41
12501,130,53
12758,142,53
12982,151,53
13265,164,60
13491,172,67
13713,177,69
13942,184,74
14498,189,74
14803,192,89
15058,194,94
15298,199,98
15443,201,106
15555,204,114
15728,210,124
15834,215,129
15946,222,144
16101,225,150
16185,229,152
16208,232,167
16246,235,173
16289,238,182
16310,239,190
16381,240,197
16436,245,202
16454,247,207
16477,252,239
16506,258,251
16529,260,259
16548,264,281
16579,265,284
16589,266,284
16608,268,301
16617,272,313
16643,276,336
16659,278,358
16667,279,366
16683,279,375
16690,279,380
16712,279,380
16717,279,383
16734,281,402
16757,281,405
16793,281,408
16872,284,421
16987,284,438
17012,284,464
17071,285,478
17169,285,482
17285,290,499
17377,291,553
17495,291,592
17562,291,643
17752,295,706
17863,298,752
18032,298,849
18180,299,873
18355,299,1048
18569,300,1092
18795,300,1164
18972,300,1221
19055,300,1253
19237,302,1286
19495,302,1328
19783,303,1353
20036,303,1459
20339,304,1550
20633,305,1586
20778,306,1607
21082,307,1680
21512,308,1782
22044,308,1823
22400,309,1857
22800,314,1905
23421,317,1936
23755,318,1971
24441,319,2013
25244,320,2039
26257,322,2089
27047,324,2109
28055,326,2148
29170,330,2236
29958,331,2287
30749,334,2414
32222,342,2504
33557,344,2593
34825,348,2657
36266,351,2733
