confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
1,0,2
2,0,5
8,0,5
8,0,5
10,0,5
10,0,9
12,0,9
13,0,15
15,1,18
16,1,18
16,1,27
19,1,27
19,1,27
21,1,39
26,1,43
26,1,49
26,1,57
30,1,64
32,1,67
36,1,72
36,1,73
44,3,80
47,3,81
47,3,82
53,3,93
58,3,99
58,3,103
63,3,105
63,4,111
63,4,111
63,4,123
65,4,133
69,4,142
73,4,150
73,4,176
125,5,206
143,5,225
143,5,258
163,5,280
173,5,305
223,5,367
223,6,412
233,6,443
257,6,498
288,7,613
305,7,656
350,7,806
364,7,1012
364,7,1176
396,7,1389
422,8,1539
432,8,1602
463,8,1703
469,9,1776
471,9,1947
473,9,2032
478,9,2219
488,9,2381
490,9,2466
490,9,2622
502,9,2729
505,9,2907
507,9,3101
509,9,3263
509,9,3451
511,9,3640
517,9,3843
520,9,4093
520,9,4339
520,9,4681
529,9,4885
534,9,5205
544,9,5515
550,9,5747
552,9,6117
556,9,6621
564,9,7306
569,9,7946
569,9,8698
575,9,9273
581,9,10156
586,9,11386
588,9,12899
590,9,14281
591,10,15750
591,10,17223
595,10,18277
596,10,19282
598,10,20205
599,10,21242
605,10,22162
605,10,23288
611,10,24137
614,10,25048
615,10,25882
617,10,26759
621,10,27531
621,10,28206
626,10,28896
638,10,29512
652,10,30190
657,10,30726
659,10,31240
665,10,31770
670,10,32304
678,10,32809
684,10,33367
686,10,33969
690,10,34586
696,10,35494
698,10,36313
702,10,37030
707,10,37715
715,10,38390
721,10,39276
728,10,39943
732,10,40463
737,10,41001
745,10,41515
751,10,42108
753,10,42686
753,10,43214
