confirmed,death,recover
2,0,0
2,0,0
2,0,0
2,0,0
4,0,0
4,0,0
7,0,0
7,0,0
11,0,0
15,0,0
20,0,0
20,0,0
20,0,0
22,0,0
23,0,0
23,0,0
23,0,0
24,0,0
24,0,0
26,0,0
27,0,0
28,0,0
33,1,0
43,1,0
54,1,0
60,1,0
67,1,0
79,2,0
85,2,0
95,2,0
112,2,0
137,2,0
149,2,0
160,2,0
173,3,0
192,3,0
218,4,0
236,5,0
245,6,0
259,6,0
278,6,0
298,6,0
333,7,0
365,7,0
420,7,0
466,7,0
499,8,0
527,10,0
585,13,0
640,15,0
696,19,0
733,21,0
795,22,0
826,24,0
843,30,0
893,30,0
928,32,0
968,33,0
1022,34,0
1059,36,0
1104,40,0
1144,41,0
1217,42,0
1314,45,0
1416,47,0
1530,53,0
1728,56,0
1907,63,0
2001,65,3
2255,67,3
2535,72,3
2818,75,5
3154,81,6
3525,87,9
3876,93,9
4110,96,33
4485,98,33
5020,105,33
5614,113,35
6250,125,35
6951,138,44
7473,147,54
7773,156,67
8277,170,71
8835,186,78
9398,204,91
9958,217,114
10548,236,130
10914,255,133
11258,275,201
11641,303,216
12037,323,254
12469,351,302
12854,360,345
13186,379,345
13405,395,370
13576,417,395
13860,436,416
14076,454,437
14284,481,462
14558,510,504
14861,536,527
15061,560,564
15229,582,575
15354,593,600
15455,605,614
15553,617,637
15640,634,650
15755,654,658
15824,666,675
15861,685,688
15948,707,709
15998,726,726
16096,742,735
16148,760,745
16202,778,783
16226,787,804
16259,796,827
16287,805,898
16321,818,910
16362,826,923
16385,836,939
16410,845,957
16451,852,980
16472,857,992
16502,863,1015
16528,870,1043
16598,881,1066
16673,887,1088
16716,894,1113
16751,898,1170
16787,899,1181
16837,902,1219
16867,905,1265
16911,911,1292
16958,916,1340
17000,915,1360
17039,917,1425
17060,920,1445
17111,920,1483
17146,922,1572
17187,922,1668
17250,924,1668
17293,927,1722
17369,927,1791
17439,929,1847
17484,934,1902
17530,935,1933
17588,935,1933
17658,951,1961
17725,955,1981
17780,955,2021
17820,955,2021
17879,965,2082
17963,967,2112
18055,971,2162
18162,971,2194
18254,971,2212
18366,972,2294
18476,972,2370
18615,972,2443
18838,976,2530
19055,977,2655
19185,977,2671
19461,977,2714
19668,977,2802
19848,978,2916
20055,981,2967
20261,982,3053
20617,982,3134
21044,982,3236
