confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
71,1,0
86,1,0
91,1,0
94,1,0
94,1,0
112,1,0
125,1,0
125,1,0
126,1,0
135,1,0
145,1,0
145,1,0
170,4,0
184,5,0
184,5,0
250,7,0
283,7,0
283,7,0
283,7,0
387,8,0
387,8,0
449,11,0
480,12,0
510,12,0
561,12,0
598,15,0
604,18,0
630,18,0
669,19,0
703,19,0
731,20,0
763,21,0
780,22,0
790,22,0
799,22,0
806,22,0
806,22,0
823,22,0
851,22,0
855,26,0
856,26,0
856,26,0
861,27,0
861,27,2
862,28,2
870,28,2
884,28,2
919,29,2
919,29,2
944,29,3
944,29,4
944,29,4
955,29,4
955,29,4
989,29,4
989,29,4
1003,29,4
1004,29,6
1025,29,6
1032,29,6
1038,30,6
1038,30,6
1047,30,6
1048,30,6
1048,30,6
1064,30,6
1064,30,6
1064,30,6
1064,30,6
1142,30,6
1142,30,6
1142,30,6
1142,30,6
1142,30,6
1263,31,15
1263,31,15
1298,31,15
1326,31,48
1326,31,48
1437,32,49
1437,32,49
1486,33,49
1486,33,58
1486,33,89
1486,33,117
1486,33,122
1486,33,122
1486,33,169
2169,37,190
2169,37,217
2169,37,224
2169,37,224
2169,37,224
2169,37,224
2169,37,246
2677,49,246
2878,51,279
2991,54,333
3064,55,333
3064,55,333
3064,55,333
3356,66,333
3508,75,333
3703,79,333
3886,82,333
4100,86,333
4307,94,333
