confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
3,0,1
3,0,1
6,0,1
14,0,1
14,0,1
16,0,1
42,0,1
44,0,1
44,0,1
58,0,1
58,0,1
84,0,1
94,0,7
107,0,7
111,0,7
116,0,7
130,1,7
144,1,7
147,1,7
216,4,8
228,4,8
270,4,8
280,4,8
298,5,54
339,5,54
377,5,97
419,5,101
430,5,101
449,5,138
466,5,178
489,5,210
506,5,228
554,5,242
568,7,242
590,7,298
612,7,357
631,8,399
665,8,430
665,8,460
682,8,467
695,8,474
708,8,536
729,8,563
746,8,589
756,8,594
769,8,632
795,10,635
830,10,638
843,11,678
871,12,718
895,12,739
906,12,765
931,12,828
1002,12,828
1016,12,833
1037,12,850
1044,12,908
1082,12,934
1111,14,965
1117,14,988
1138,14,997
1216,14,997
1243,14,1025
1270,14,1049
1313,14,1049
1350,14,1111
1365,14,1135
1403,14,1138
1433,16,1138
1468,16,1165
1520,16,1184
1594,16,1193
1662,16,1216
1722,16,1229
1748,16,1236
1817,16,1236
1845,17,1249
1871,20,1260
1899,20,1273
1936,22,1302
1974,22,1321
2007,22,1328
2032,23,1331
2055,24,1338
2093,26,1369
2166,26,1372
2166,26,1400
2207,27,1416
2285,27,1427
2472,28,1429
2562,30,1441
2657,31,1447
2657,31,1449
2789,32,1462
2981,35,1470
3356,40,1475
3356,40,1475
3726,42,1483
3954,43,1484
4204,43,1494
4446,46,1501
4513,46,1503
5017,50,1503
5296,57,1512
5506,61,1515
6261,66,1524
6767,76,1536
6878,76,1539
7094,78,1545
7377,88,1545
8141,99,1547
8279,107,1547
8847,116,1552
9358,122,1564
9910,125,1569
