confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,0,0
2,0,0
2,0,0
4,0,0
10,0,0
13,0,0
13,0,0
13,0,0
16,0,0
22,0,0
22,0,0
32,0,0
32,0,0
41,1,0
61,3,0
61,3,0
77,3,0
93,3,0
110,3,0
110,3,0
120,3,0
133,3,0
157,4,0
163,4,0
187,4,0
248,4,0
267,4,0
318,4,0
333,6,0
368,6,0
391,8,0
412,8,0
438,10,0
446,11,0
470,12,0
479,14,0
494,16,0
508,17,0
520,17,0
527,18,2
541,19,2
548,19,7
576,19,11
582,19,11
609,20,11
619,20,11
630,20,20
632,20,21
641,21,23
658,21,29
663,21,33
668,21,33
672,21,35
673,21,39
677,21,41
677,21,44
682,22,52
688,22,58
696,22,61
704,24,62
707,24,71
710,24,75
717,24,82
721,24,90
725,24,92
729,24,94
733,25,97
737,25,98
740,25,99
741,25,101
750,25,101
784,25,101
796,26,101
809,26,101
845,26,101
859,26,101
870,26,101
878,26,107
886,26,108
891,26,112
902,26,114
911,26,114
931,26,119
954,26,119
961,26,131
1024,26,131
1086,26,135
1097,26,138
1114,26,142
1119,26,147
1140,26,147
1161,26,151
1168,26,154
1172,26,164
1191,26,165
1220,27,168
1233,27,174
1242,27,185
1256,27,195
1306,28,200
1312,28,201
1320,29,212
1331,30,233
1350,30,254
1368,30,274
1388,30,296
1402,31,312
1422,31,344
1442,32,362
1446,32,367
1464,32,384
1473,32,417
1489,32,450
1495,32,463
1510,32,498
1536,32,618
1587,32,655
1603,32,692
1622,32,732
1644,33,779
1662,33,823
1697,33,862
1719,33,907
1740,34,944
1745,34,966
1778,34,994
1788,34,1006
1796,35,1040
1830,35,1057
1855,35,1078
1873,36,1108
1885,36,1135
1907,36,1187
1946,36,1761
2011,36,1950
2082,36,2183
