confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,3
0,0,3
0,0,3
0,0,3
0,0,7
0,0,7
0,0,7
0,0,13
0,0,15
0,0,15
0,0,15
0,0,15
0,0,15
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,22
0,0,22
0,0,22
0,0,22
0,0,23
0,0,24
0,0,24
0,0,24
0,0,26
0,0,26
0,0,26
0,0,35
0,0,42
1,0,42
1,0,49
2,0,60
2,0,75
2,0,87
3,0,114
3,0,139
3,0,139
3,0,183
3,0,199
3,0,215
3,0,259
3,0,320
3,0,388
3,0,479
3,0,537
6,0,645
6,0,767
7,0,827
10,1,915
13,3,1005
14,3,1241
14,3,1321
31,4,1487
31,4,1608
37,5,1830
48,5,1995
50,5,2108
59,6,2276
59,6,2478
59,6,2647
59,6,2766
76,7,2967
76,7,3102
91,8,3197
99,8,3295
101,8,3349
101,8,3452
101,8,3542
117,8,3663
120,11,3762
124,12,3862
124,12,3957
141,16,4032
141,16,4087
141,16,4171
152,18,4210
154,18,4326
158,18,4413
166,18,4484
170,20,4567
178,20,4702
189,20,4776
199,20,4864
199,20,4929
199,20,5025
211,20,5113
211,20,5223
213,20,5281
215,20,5351
219,20,5439
223,20,5512
226,21,5571
229,22,5615
233,23,5646
238,23,5706
240,23,5796
249,24,5859
255,26,5912
265,26,5945
265,26,5979
266,26,6041
266,27,6083
269,27,6169
273,27,6235
280,27,6330
288,27,6353
296,27,6404
311,28,6470
316,28,6531
321,28,6559
334,30,6610
345,30,6635
359,30,6674
370,30,6694
383,31,6975
397,31,7014
410,31,7065
421,32,7168
446,32,7311
458,32,7346
498,33,7400
509,33,7733
516,33,7873
542,33,8000
581,33,8070
601,33,8146
626,34,8156
650,34,8177
652,34,8186
662,34,8231
681,34,8271
684,34,8294
729,34,8308
768,34,8318
770,36,8334
780,36,8354
804,37,8375
819,37,8437
833,37,8446
869,37,8461
874,37,8465
891,39,8476
917,41,8481
926,41,8486
957,42,8499
963,47,8511
