confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
3,0,0
8,0,0
8,0,0
10,0,0
10,0,0
11,1,0
11,1,0
18,1,0
18,1,0
19,1,0
20,1,0
21,1,0
24,1,0
24,1,0
24,1,0
25,1,0
26,1,0
35,1,0
48,1,0
49,1,0
49,1,0
49,1,0
51,1,0
51,1,0
51,1,0
59,1,0
60,2,0
61,2,0
61,2,0
61,2,0
61,2,0
61,2,0
61,2,5
61,3,5
63,3,8
63,3,8
63,3,8
63,3,8
63,3,8
64,3,8
64,3,9
64,3,9
64,3,12
64,3,12
64,3,12
64,3,17
64,3,17
64,3,17
64,3,17
65,3,17
65,3,17
65,3,17
68,3,17
69,3,17
71,3,19
72,3,19
75,3,19
75,3,19
75,3,19
77,3,20
99,4,20
105,5,20
118,5,20
130,5,20
156,5,20
168,5,20
182,5,23
196,5,23
209,5,23
239,5,23
256,5,23
256,5,23
332,5,24
359,5,24
378,5,24
393,5,24
409,6,24
418,8,24
454,10,24
467,10,24
484,10,24
500,10,25
510,10,25
520,10,25
544,10,25
571,10,25
595,10,25
639,17,25
670,18,25
698,18,25
713,18,25
727,18,25
762,21,25
802,23,25
824,24,28
874,25,28
891,26,28
918,27,29
989,27,29
1046,32,29
1117,34,31
1182,35,31
1268,36,31
1342,38,31
1342,38,31
