confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3,0,0
3,0,0
3,0,0
12,0,0
17,0,0
19,0,0
23,0,0
26,0,0
26,0,0
39,0,2
43,0,2
57,0,2
57,0,2
59,0,2
70,0,2
70,0,2
72,0,2
82,0,2
88,0,2
93,0,2
93,0,2
93,0,2
102,0,2
106,0,2
106,0,2
108,0,2
110,0,2
111,0,2
117,0,2
120,0,2
121,0,6
121,0,6
121,0,6
121,0,6
121,0,6
122,0,6
123,0,6
124,0,6
128,0,6
128,0,6
128,0,6
128,0,6
132,0,6
135,0,6
149,0,6
149,0,6
151,0,6
158,0,6
193,0,6
193,0,6
193,0,6
193,0,6
186,0,6
186,0,6
212,0,6
230,0,7
238,0,7
283,0,7
304,1,7
322,1,7
326,2,7
371,2,7
405,2,7
448,2,7
488,2,7
527,2,15
542,2,15
586,2,15
612,2,15
656,2,15
698,5,21
758,6,21
771,6,27
826,6,27
845,6,55
908,6,57
957,7,65
975,7,69
1026,8,104
1052,9,108
1094,9,119
1138,9,139
1162,10,142
1203,10,250
1240,10,278
1252,10,311
1272,10,332
1290,10,360
1317,12,373
1378,12,427
1403,13,550
1443,13,653
1503,13,696
1596,14,811
1640,15,905
1724,15,963
1787,16,1074
1829,16,1225
1922,16,1280
2005,16,1344
2078,18,1419
2138,20,1497
2214,20,1622
2303,22,1677
2403,24,1727
2512,26,1765
2728,29,1805
2941,32,1844
3250,33,1896
3472,33,1944
3573,33,1994
3782,33,2026
4143,34,2111
