confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,0,0
2,0,0
2,0,0
2,0,1
2,0,1
2,0,1
2,0,1
3,0,1
3,0,1
5,0,1
5,0,1
5,1,1
6,1,2
6,1,2
6,1,2
6,1,3
6,1,3
6,1,3
6,1,4
6,1,4
6,1,4
7,1,5
7,1,5
7,1,5
7,1,6
7,1,6
7,1,6
7,1,12
7,1,12
7,1,20
7,1,22
7,1,22
7,1,23
7,1,26
7,1,26
7,1,35
7,1,41
7,1,42
7,1,42
7,1,42
7,1,50
8,1,58
8,1,64
8,1,73
8,1,78
8,1,78
8,1,78
8,1,81
8,1,82
8,1,82
8,1,82
8,1,82
8,1,82
8,1,85
9,1,85
15,2,87
20,2,87
29,3,87
40,4,87
62,4,87
81,4,87
131,4,87
141,4,90
173,5,90
200,6,90
227,6,90
237,6,90
262,9,90
268,13,90
292,16,90
346,19,90
423,20,90
483,20,90
530,23,90
588,23,90
668,31,90
745,34,90
784,39,92
883,43,93
947,49,93
1049,55,93
1104,59,93
1162,61,93
1283,71,93
1439,74,93
1572,81,93
1682,83,93
1783,87,93
1887,91,93
2057,93,94
2223,95,94
2424,97,94
2621,102,94
2813,108,94
2984,111,94
3121,112,95
3292,114,95
3519,116,95
3739,119,95
3907,120,95
4025,121,95
4149,126,95
4237,128,95
4363,129,95
4472,129,95
4606,129,95
4705,129,95
4827,129,95
4879,130,95
4948,133,95
5024,135,95
5087,139,95
5126,144,96
5203,146,96
