confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3,0,0
3,0,0
12,0,0
14,1,0
28,2,0
36,2,0
42,2,0
48,2,0
81,2,0
94,2,0
102,2,0
107,3,0
128,3,2
143,5,2
161,6,2
169,7,2
186,7,2
196,7,2
227,7,2
244,7,2
268,7,4
273,7,4
314,7,4
318,9,4
319,9,4
324,9,4
324,9,4
324,9,5
324,9,5
324,9,5
324,9,5
325,9,5
328,9,7
328,9,7
328,9,8
329,9,8
331,9,9
331,9,9
331,9,9
332,9,9
334,10,10
334,10,10
332,10,10
332,10,10
332,10,10
332,10,10
332,10,10
332,10,12
332,10,13
332,10,13
332,10,13
332,10,13
332,10,14
332,10,14
332,10,14
332,10,15
332,10,15
332,10,15
332,10,20
332,10,20
332,10,21
332,10,24
332,10,26
332,10,26
332,10,26
332,10,28
332,10,30
334,10,32
334,10,33
334,10,37
334,10,43
334,10,43
335,10,43
335,10,44
335,10,44
335,10,44
335,10,44
335,10,44
335,10,65
337,10,70
337,10,75
337,10,75
337,10,75
337,10,87
337,10,89
337,10,95
337,10,95
337,10,98
337,10,98
337,10,109
337,10,111
337,10,127
337,10,132
337,10,139
337,10,139
337,10,153
340,10,158
340,10,168
341,10,169
341,10,170
341,10,175
341,10,175
341,10,175
341,10,175
341,10,176
341,10,177
341,10,179
341,10,183
341,10,185
341,10,188
342,10,194
342,10,195
342,10,197
342,10,197
342,10,200
