confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
3,0,0
3,0,0
3,0,0
6,0,1
12,0,1
23,0,1
23,0,1
30,0,1
30,1,1
49,1,1
66,1,1
80,1,3
94,1,3
109,1,3
125,1,6
149,1,7
177,1,8
199,2,11
231,2,11
263,2,13
298,2,15
353,4,24
423,5,29
505,6,31
591,8,57
752,12,66
864,15,76
965,19,81
1056,22,93
1174,27,97
1289,29,109
1438,29,122
1560,30,146
1662,31,177
1712,35,203
1934,40,217
2049,46,229
2154,54,249
2264,56,281
2378,57,314
2472,67,327
2548,70,350
2614,72,393
2778,75,417
2926,80,456
3110,84,486
3304,94,537
3408,96,593
3481,102,695
3638,103,778
3771,111,928
3897,116,984
3980,122,1083
4052,124,1256
4121,125,1438
4248,132,1653
4363,136,1838
4476,143,2017
4605,145,2179
4728,150,2324
4867,161,2461
4927,169,2554
4995,175,2811
5154,182,2991
5406,185,3131
5553,194,3310
5745,202,3400
5934,207,3487
6060,211,3660
6138,217,3758
6340,221,3901
6553,228,4098
6704,233,4280
6847,237,4377
6994,242,4638
7093,250,4703
7147,261,4774
7305,267,4881
7537,274,4978
7725,282,5195
7896,288,5271
8098,291,5401
8251,295,5459
8360,305,5893
8548,307,6410
8795,310,6866
9018,315,7195
9247,323,7268
9511,331,7315
9700,341,7364
9807,353,7408
10025,365,7493
10321,371,7565
10727,375,7583
11093,385,7618
11459,398,7696
11740,406,7765
11879,411,7828
12254,423,7937
12732,433,7993
13106,444,8041
13556,450,8117
13953,464,8223
14200,473,8284
14363,480,8366
14714,490,8407
15078,495,8468
15453,502,8500
15776,515,8656
16080,521,8723
16250,530,8740
16357,536,8833
16613,545,8920
16898,549,9026
17150,560,9090
17445,572,9160
17672,580,9329
17814,585,9725
17906,592,10173
18141,603,10639
18471,614,11316
18666,624,11447
18924,635,11827
