confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,0,0
2,0,0
2,0,0
2,0,0
7,0,0
7,0,0
7,0,0
7,0,0
11,0,0
11,0,0
23,0,0
23,0,0
23,0,0
31,0,0
33,0,0
42,0,0
42,0,0
46,1,0
49,1,0
52,1,0
55,1,0
60,1,0
64,1,0
66,1,1
73,1,1
77,1,1
79,1,1
81,1,1
84,1,1
90,1,2
92,1,2
93,1,2
93,1,2
93,1,2
93,3,2
93,3,2
94,3,2
94,3,4
94,3,8
94,3,8
94,3,8
94,3,8
94,4,9
94,4,12
94,4,12
94,4,12
95,4,12
95,4,12
95,4,12
95,4,12
95,4,12
95,4,18
95,4,19
95,4,19
95,4,19
95,4,21
95,4,24
95,4,27
96,4,34
96,4,34
96,4,34
96,4,34
96,4,34
96,4,35
96,4,42
96,4,43
96,4,44
97,4,44
97,4,44
97,4,48
97,4,48
97,4,48
98,4,48
98,4,51
98,4,71
98,4,71
98,4,71
98,4,82
98,4,84
99,4,90
99,4,91
99,4,97
99,4,98
99,4,109
99,4,114
99,4,119
99,4,126
99,4,127
99,4,131
99,4,136
99,4,138
99,4,144
99,4,145
99,4,151
99,4,151
99,4,157
99,4,160
99,4,160
99,4,175
99,4,177
99,4,177
100,4,181
101,4,181
101,4,206
102,4,220
102,4,221
102,4,223
103,4,225
103,4,228
103,4,229
103,4,232
103,4,248
106,4,249
106,4,249
106,4,256
108,4,256
108,4,277
108,4,280
108,4,337
108,4,340
108,4,344
