confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
5,0,0
6,0,0
6,0,0
6,0,0
10,0,0
10,0,0
10,0,0
10,0,2
10,0,2
11,0,2
11,0,2
12,0,2
12,0,2
12,0,2
12,0,2
14,0,2
14,0,3
14,0,3
14,0,3
14,0,3
15,0,3
15,0,3
16,0,3
16,0,3
16,0,3
16,0,3
16,0,3
17,0,3
30,0,3
30,0,3
31,0,4
31,0,4
31,0,6
32,0,6
33,0,6
34,0,6
35,0,6
36,0,7
37,0,7
37,0,7
38,0,8
38,0,8
38,0,8
38,0,8
38,0,8
38,0,8
39,0,8
39,0,8
40,0,8
41,0,8
41,0,8
41,0,9
42,0,9
42,0,10
42,0,11
42,0,11
42,0,11
42,0,11
98,0,12
98,0,13
135,0,13
136,0,13
140,0,13
140,0,13
140,0,14
140,0,14
141,0,14
141,0,14
141,0,14
141,0,14
141,0,14
148,0,14
161,0,14
179,0,14
179,0,14
179,0,14
185,0,16
185,0,16
185,0,16
186,0,16
191,0,16
193,0,16
193,0,16
194,0,16
194,0,16
194,0,17
197,0,17
197,0,17
197,0,17
197,0,17
197,0,17
197,0,18
201,0,19
204,0,19
204,0,19
206,0,19
213,0,19
215,0,21
215,0,21
216,0,21
219,0,21
219,0,22
219,0,22
220,0,24
220,0,24
220,0,24
220,0,24
220,0,24
220,0,25
220,0,25
220,0,25
225,0,25
227,0,25
227,0,25
227,0,25
227,0,25
