confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
2,0,1
2,0,1
3,0,1
14,0,1
14,0,1
21,0,1
27,1,1
47,1,1
52,1,1
69,1,1
82,1,1
84,1,1
85,1,1
91,1,1
109,2,1
123,2,1
144,2,1
174,2,1
201,2,1
214,2,1
233,2,1
241,2,1
248,2,1
252,2,1
255,2,1
263,2,1
272,3,1
274,3,1
283,4,1
288,4,1
303,4,2
303,5,2
307,5,2
308,5,4
312,5,4
313,5,4
315,5,7
316,5,10
319,6,11
320,6,12
321,7,16
321,7,16
321,7,16
322,7,16
322,7,16
322,7,16
322,8,16
322,8,16
323,8,16
324,8,16
324,8,22
324,8,22
324,8,31
324,8,31
324,9,31
324,9,33
324,9,33
324,9,35
324,9,35
324,9,36
324,9,36
324,9,36
324,9,36
324,9,37
324,9,45
324,9,49
324,9,70
324,9,70
324,9,87
324,9,112
324,9,155
324,9,183
324,9,187
324,9,206
324,9,219
324,9,220
324,9,221
324,9,266
324,9,278
324,9,290
324,9,333
324,9,365
324,9,467
324,9,488
324,9,584
324,9,674
324,9,861
324,9,877
324,9,913
325,9,974
326,9,1041
326,9,1158
333,9,1167
337,9,1186
355,9,1402
359,9,1578
362,9,1772
367,9,2148
378,9,2224
389,9,2338
414,9,2650
439,9,2698
469,9,2834
481,11,3013
501,11,3134
548,12,3194
576,12,4656
616,12,5320
663,13,6143
720,14,6415
781,14,6547
841,14,6811
907,17,7499
960,17,7752
1019,19,7891
1019,19,8011
