confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
3,0,0
5,0,0
7,0,0
7,0,0
8,0,0
8,0,0
8,0,0
8,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
17,0,0
17,0,2
20,0,2
20,0,2
21,0,2
21,0,2
28,0,2
29,0,2
31,0,2
34,0,5
35,0,5
39,0,7
39,0,7
39,0,7
41,0,7
46,0,9
65,0,9
70,0,10
76,0,10
76,0,16
76,0,16
76,0,27
76,0,27
79,0,31
79,0,37
80,0,43
80,0,49
81,0,49
81,0,50
81,0,62
82,0,67
87,0,68
91,0,72
103,0,74
104,0,76
104,0,79
115,0,84
119,0,89
129,0,96
137,0,97
145,0,101
146,0,104
156,0,108
162,0,108
164,0,116
168,0,120
194,0,122
209,1,123
213,1,124
227,1,126
233,2,126
234,2,130
244,2,130
254,2,138
254,2,138
307,2,143
316,2,145
352,2,148
354,2,151
409,2,156
424,2,156
433,2,159
453,2,159
472,2,165
489,2,165
509,2,165
553,2,167
583,3,167
609,3,175
638,4,179
651,4,185
662,4,187
668,4,192
688,4,196
733,5,200
737,5,200
757,5,204
762,5,208
788,5,211
816,5,215
839,5,216
859,5,218
883,6,221
889,6,222
903,6,222
918,6,223
939,6,237
969,7,240
987,8,241
1012,8,245
1040,8,245
1071,8,250
1092,9,254
1111,9,256
