confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
6,0,0
10,0,0
18,0,0
24,0,0
38,0,0
82,0,0
128,1,0
188,1,0
265,3,0
321,3,0
382,4,0
503,5,0
503,5,0
804,10,0
959,12,0
1135,20,0
1413,24,0
1705,43,0
2051,58,0
2460,76,0
2994,106,0
3631,136,0
4204,179,0
4749,213,0
5560,276,0
6412,356,0
7431,434,0
8603,546,0
9762,639,0
10866,771,0
11750,864,0
12595,1039,0
13614,1173,0
14697,1339,0
15723,1487,0
16627,1651,0
17851,1766,13
18803,1867,26
19580,2101,26
20549,2248,28
21762,2396,40
23097,2511,41
24413,2643,41
25587,2737,75
26551,2823,75
27419,2945,90
28153,3134,90
29214,3315,90
30449,3459,110
31589,3601,113
32655,3684,117
33405,3751,117
34134,3916,127
34842,4054,193
35729,4177,256
36535,4289,289
37190,4409,325
37845,4475,350
38245,4518,385
38416,4566,403
38802,4711,435
39316,4795,452
39791,4893,478
40236,4987,507
40571,5056,518
40770,5082,534
41087,5168,543
41319,5204,561
41774,5288,586
42093,5359,600
42382,5422,617
42627,5440,624
42788,5456,637
42984,5510,648
43211,5562,658
43481,5590,677
43681,5643,684
43870,5670,689
43995,5680,698
44141,5694,714
44249,5715,734
44447,5748,738
44700,5775,753
44888,5788,764
45064,5811,775
45236,5822,783
45445,5830,786
45578,5856,796
45768,5871,796
45950,5903,803
46126,5931,813
46257,5951,818
46442,5956,839
46545,5962,844
46647,5967,848
46733,5977,857
46942,5990,860
47152,6005,863
47335,6011,867
47574,6013,867
47739,6016,869
47903,6031,871
48087,6042,876
48251,6044,878
48461,6053,881
48640,6057,881
48783,6059,885
48948,6065,885
49087,6070,885
49204,6074,893
49319,6078,901
49426,6081,901
49502,6089,911
49593,6090,911
49658,6090,913
49722,6095,913
49804,6097,913
49914,6100,917
50005,6103,919
50074,6105,924
50147,6105,939
50223,6107,939
50273,6113,943
50273,6113,943
50335,6113,959
50335,6113,963
50335,6113,963
50621,6127,965
50657,6128,968
50694,6132,974
50746,6135,976
50798,6137,976
50840,6136,978
