confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
3,0,0
3,0,0
4,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
6,0,0
8,0,0
8,0,0
12,0,0
20,0,1
28,0,1
39,0,1
52,0,1
102,0,2
102,0,2
155,0,2
205,0,2
283,0,2
368,0,3
451,0,3
514,1,3
589,1,8
647,1,8
708,1,9
797,1,20
868,1,25
950,1,25
1039,1,33
1106,1,35
1160,1,44
1210,1,44
1239,1,51
1283,2,58
1312,4,70
1330,4,85
1349,5,91
1366,9,99
1386,9,128
1401,9,152
1409,11,159
1422,11,166
1431,12,170
1440,12,188
1445,13,188
1451,14,197
1456,17,197
1461,18,208
1470,18,222
1469,19,239
1472,19,255
1474,19,255
1476,19,307
1479,19,319
1485,20,351
1487,20,351
1487,20,400
1486,20,417
1488,21,481
1489,21,534
1490,21,601
1492,21,679
1494,21,745
1497,21,778
1497,21,902
1497,21,959
1497,21,1070
1498,21,1180
1498,21,1320
1499,21,1472
1499,21,1594
1499,21,1644
1503,21,1734
1503,21,1840
1504,21,1907
1504,21,2007
1504,21,2174
1504,21,2263
1504,21,2311
1504,21,2385
1504,22,2501
1504,22,2592
1504,22,2697
1504,22,2856
1504,22,3007
1504,22,3122
1504,22,3240
1504,22,3329
1504,22,3535
1504,22,3696
1504,22,3826
1504,22,3959
1504,22,4040
1504,22,4206
1504,22,4351
1504,22,4494
1504,22,4891
1504,22,5101
1504,22,5220
1506,22,5349
1506,22,5623
1507,22,5967
1507,22,6307
1509,22,6581
1511,22,6718
1513,22,6879
1515,22,7109
1516,22,7338
1519,22,7613
1520,22,7822
1522,22,8253
1526,22,8625
1528,22,9007
1528,22,9402
1528,22,9746
1530,22,10152
1530,22,10801
1530,22,11069
1533,22,11462
1534,22,11665
1536,22,11828
1537,22,12108
1540,22,12373
1542,22,12546
1543,22,12795
