confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
1,0,1
2,0,1
3,0,1
3,0,6
7,1,6
10,1,6
10,1,6
10,1,7
18,1,7
27,3,12
27,3,13
74,5,13
98,5,32
120,5,32
144,8,32
184,10,32
253,10,32
278,11,32
342,11,32
410,11,32
438,11,32
491,11,32
529,12,32
529,12,32
570,14,32
584,14,32
584,14,32
627,18,32
639,19,32
648,20,32
648,20,32
657,20,32
662,22,32
671,24,32
681,24,32
684,27,32
696,29,32
701,29,32
709,31,32
713,32,32
719,32,32
728,33,32
736,35,32
750,36,32
755,37,32
763,38,32
770,38,32
781,42,32
795,44,32
815,45,32
821,46,32
832,46,32
854,47,32
860,49,32
876,50,32
885,51,32
889,51,32
904,54,32
909,55,32
914,55,32
920,58,32
924,60,32
937,60,7727
943,61,7727
945,61,7727
951,62,7727
952,63,7727
952,63,7727
955,64,7727
955,64,7727
956,64,7727
958,64,7727
958,65,7727
960,65,7727
961,65,7727
963,65,8138
966,65,8138
970,65,8138
973,65,8138
973,65,8138
974,65,8138
974,65,8138
974,65,8138
978,65,8138
980,66,8138
980,66,8138
980,66,8138
1016,66,8138
1020,67,8138
1020,67,8138
1020,67,8138
1035,67,8138
1036,67,8138
1046,67,8138
1051,67,8138
1051,67,8138
1056,67,8138
1059,67,8138
1062,67,8138
1074,67,8138
1075,67,8138
1075,67,8138
1075,67,8138
1081,68,8138
1082,68,8138
1082,68,8138
1088,68,8138
1093,68,8138
1094,68,8138
1097,68,8138
1097,68,8138
1099,68,8138
