confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,0,0
2,0,0
4,0,0
4,0,0
4,0,0
6,0,0
6,0,0
6,0,0
12,0,0
15,0,0
16,0,0
16,0,0
16,0,0
16,0,0
16,0,0
18,0,0
18,0,0
18,0,0
19,0,0
19,0,0
22,0,0
22,0,0
24,0,0
39,0,0
48,0,0
48,0,0
52,0,0
55,0,0
66,0,0
84,0,0
99,0,0
109,0,0
131,0,0
152,0,0
167,0,0
179,0,0
192,1,0
210,1,0
231,1,0
252,1,0
277,2,0
298,2,0
331,2,0
371,2,0
419,2,0
457,3,0
484,3,0
546,3,0
599,4,0
727,4,0
813,4,0
910,4,0
1019,4,0
1069,6,0
1180,6,0
1266,7,0
1410,7,0
1508,8,0
1614,8,0
1716,9,0
1790,10,0
1905,10,0
1998,10,0
2049,10,0
2131,10,0
2274,10,0
2348,11,0
2447,11,0
2483,12,0
2568,12,0
2637,12,8
2735,13,8
2903,13,8
2958,15,8
3112,16,8
3224,17,8
3399,17,8
3573,17,8
3721,17,8
4019,17,8
4341,18,8
4625,20,8
5029,21,8
5186,22,8
5379,25,8
5671,27,8
6043,30,8
6370,31,8
6794,34,8
7257,36,8
7770,37,8
7770,37,8
8118,37,8
8373,39,8
9009,40,8
9820,40,8
10423,42,8
11437,49,8
12223,50,8
12799,59,8
13537,67,8
14316,67,8
15086,72,8
16016,72,8
16882,75,8
17486,81,8
18198,83,8
18887,84,8
19954,89,8
21071,96,8
22077,99,8
23481,104,8
24524,108,8
25269,114,8
26079,116,8
26818,119,8
27670,125,8
28566,128,8
29471,131,8
31076,137,8
32394,140,8
33536,142,8
34902,144,8
36034,153,8
36953,159,8
38150,163,8
39060,169,8
40070,176,8
41194,185,8
42555,188,8
43929,193,8
45106,203,8
46178,213,8
47735,218,8
48997,224,8
50207,233,8
51725,236,8
53614,244,8
