confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
8,1,0
11,1,0
27,1,0
36,1,0
43,1,0
55,1,0
69,1,1
86,1,1
109,1,1
137,1,1
200,1,1
313,3,1
345,6,1
345,6,1
443,8,1
558,8,14
674,9,16
786,14,16
901,17,16
989,24,53
1181,30,394
1181,30,394
1317,32,537
1475,37,537
1673,41,914
1801,46,989
1988,54,997
2100,55,1301
2249,59,1333
2528,63,1438
2752,66,1569
2974,74,1739
3234,79,1798
3400,87,2642
3472,94,2869
3574,95,3108
3751,103,6120
4016,109,6541
4210,116,6684
4273,120,6811
4467,126,6968
4658,136,6982
4821,141,7027
5166,146,7422
5338,154,7496
5538,159,7797
5779,165,8088
6021,167,8425
6021,167,9179
6378,178,10037
6532,188,10405
6720,192,11129
7090,197,12434
7090,197,13550
7197,200,14427
7523,210,15413
7731,218,17527
7868,225,18388
8070,231,19012
8282,237,20246
8448,244,21349
8616,249,22406
8783,252,23324
8944,256,24324
9118,260,25151
9268,266,27147
9449,269,28272
9606,275,28621
9726,279,30306
9867,281,36524
9977,287,41968
10116,291,43587
10267,295,44848
10577,299,47915
10926,306,49795
11183,310,50949
11447,313,52906
11728,315,56169
12131,320,59442
12531,326,62791
13018,330,66447
13463,336,67208
13837,344,68507
14095,352,69257
14609,357,72319
15044,363,76228
15463,370,79214
16004,386,82731
16425,393,86219
16854,398,89556
17233,403,92929
17889,413,98031
18586,418,102429
19211,421,107133
20059,429,111724
21418,437,115579
21422,448,119409
21962,457,125205
22597,470,128622
23351,475,131190
24274,485,135520
25222,493,143017
26030,501,141967
26752,521,145320
27314,536,148437
28030,547,151589
29037,564,151225
29905,575,159806
30658,592,164024
31686,604,167998
32785,620,171159
33550,631,174535
34463,645,178245
35237,667,182097
35995,698,185852
36983,720,189621
38149,747,193957
39334,770,197619
40291,799,200938
41251,819,204748
42216,839,207802
43257,863,210638
