confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,5
0,0,5
0,0,8
1,0,8
1,0,13
1,0,17
1,0,17
1,0,20
1,0,26
1,0,28
1,0,31
1,0,35
1,0,42
1,0,42
1,0,49
1,0,50
1,0,51
1,0,52
1,0,57
1,0,64
2,0,73
2,0,84
2,0,96
2,0,124
2,0,140
2,0,157
2,0,197
2,0,242
2,0,295
2,0,353
7,0,435
7,0,487
7,0,516
7,0,572
7,0,613
7,0,654
8,0,693
8,0,722
8,0,762
8,0,792
8,0,862
8,0,932
8,0,975
8,0,1023
8,0,1043
8,0,1084
8,0,1124
8,0,1214
8,0,1315
8,0,1408
8,0,1506
8,0,1618
8,0,1734
8,0,1842
8,0,1924
8,0,1999
8,0,2106
8,0,2251
8,0,2337
8,0,2460
8,0,2561
8,0,2635
8,0,2729
8,0,2843
8,0,2932
8,0,3000
8,0,3092
8,0,3177
8,0,3249
8,0,3323
8,0,3412
8,0,3506
8,0,3598
8,0,3720
8,0,3808
8,0,3909
8,0,3979
8,0,4063
8,0,4153
8,0,4248
8,0,4330
8,0,4441
8,0,4530
8,0,4637
8,0,4736
8,0,4895
8,0,5165
8,0,5454
8,0,5706
8,0,5954
8,0,6252
8,0,6552
8,0,6820
8,0,7090
8,0,7378
8,0,7650
8,0,7893
9,0,8143
9,0,8442
10,0,8656
10,0,8910
11,0,9182
11,0,9430
11,0,9686
11,0,9956
11,0,10233
11,0,10438
11,0,10673
11,0,11073
11,0,11453
11,0,11942
11,0,12185
11,0,12386
11,0,12588
11,0,12813
11,0,13230
