confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
5,0,0
5,0,0
6,0,0
6,0,0
6,0,0
8,0,13
9,0,13
11,0,13
11,0,1
13,0,1
18,1,1
22,1,1
22,1,1
27,2,1
37,3,7
41,3,7
52,3,7
56,3,7
59,3,7
64,3,7
65,3,7
69,3,47
77,3,56
92,3,56
96,3,116
104,3,134
113,5,162
115,5,191
119,5,222
124,5,284
129,6,318
133,6,375
134,6,439
147,6,487
159,7,618
161,8,668
174,8,774
199,8,866
202,8,981
206,8,1040
208,8,1133
208,8,1297
213,9,1513
213,9,1740
223,9,1944
228,9,2126
228,9,2265
228,9,2466
239,9,2655
239,9,3025
266,10,3236
333,10,3491
370,10,3762
396,10,3945
415,10,4095
431,10,4280
440,10,4655
462,10,4862
563,10,5184
689,10,5437
713,10,5698
724,10,5816
737,10,6131
740,11,6410
754,11,6696
759,11,6918
778,11,7175
786,11,7451
788,11,7628
829,11,7903
833,11,8183
836,11,8452
838,11,8731
850,11,8977
862,11,9194
865,11,9276
877,11,10020
884,11,10330
900,11,10560
917,11,10692
964,11,11016
986,11,11271
995,11,11449
1013,11,11726
1070,11,12014
1086,11,12227
1087,11,12410
1090,11,12641
1135,11,12855
1145,11,12998
1187,11,13196
1202,11,13411
1230,11,13696
1254,11,13805
1261,11,14104
1289,11,14226
1296,12,14383
1303,13,14654
1308,13,14921
1330,13,15317
1336,13,15698
1362,13,16181
1379,13,16683
1392,13,17076
1422,13,17573
1528,13,18134
1569,13,18654
1711,13,19218
1942,15,19972
2127,15,20548
2191,16,20897
2221,17,21281
2260,19,21791
2303,19,22209
2349,19,22651
2385,20,23127
2427,20,23746
2456,20,23966
2502,20,24238
2554,20,24878
2638,20,25477
2736,20,26048
