confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
6,0,0
7,0,0
11,0,0
11,0,0
15,0,0
28,0,1
38,0,2
43,0,2
86,0,3
117,0,3
145,0,3
234,0,3
234,3,5
318,5,5
363,5,5
395,5,5
416,7,22
480,9,22
580,9,43
635,11,43
671,16,43
852,18,43
950,24,43
1065,30,43
1323,38,43
1414,55,68
1595,61,68
1746,73,75
2281,83,75
2561,92,140
2954,107,184
4342,121,196
5256,138,205
5897,169,233
6848,181,266
7519,193,277
9784,216,277
10303,230,347
11475,254,383
12491,274,493
13489,300,519
14420,348,610
15628,400,610
16325,445,610
17837,484,917
19250,530,1143
20914,572,1201
21648,634,1228
25331,700,1277
27517,728,1329
28699,782,1357
31190,854,1389
33931,943,1470
36976,1051,1519
40459,1124,1647
42534,1200,1671
45928,1286,1689
47372,1344,1712
51189,1444,1743
54817,1533,2076
58526,1627,2258
61847,1714,2422
65015,1814,2499
67307,1889,2549
68822,1961,2549
72059,2057,3013
76306,2169,3182
80604,2267,3198
84495,2392,3328
88541,2523,3822
92273,2648,4636
94933,2789,6430
99483,2914,6431
104020,3024,6452
108769,3148,6452
111698,3244,7590
115754,3373,7705
119959,3456,17549
123979,3629,17822
129751,3788,18096
135905,3983,18349
141779,4099,18637
148285,4230,18911
155671,4371,19186
164476,4506,19409
170039,4634,19552
170039,4634,19869
178914,4894,20079
183198,5031,20323
187400,5162,20526
191758,5301,20807
196515,5465,20995
199696,5571,21156
203736,5738,21339
208823,5903,21742
214788,6088,22002
214788,6088,22200
220749,6308,22438
229736,6688,22669
232992,6860,22852
237156,7056,23212
240908,7257,23580
244388,7461,24010
247925,7660,24477
251338,7861,24906
254936,8045,25376
257447,8223,25548
260810,8404,25829
264689,8586,26083
268602,8761,26382
272364,8939,26633
275989,9135,26864
279419,9317,27066
282365,9504,27205
285213,9677,27505
288477,9860,27798
292004,10045,28097
295599,10226,28424
299080,10412,28772
302718,10589,29017
305703,10772,29166
309278,10952,29445
312911,11133,29714
316448,11314,30049
319646,11500,30350
