confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,1
1,0,1
5,0,1
5,0,3
11,0,3
16,0,3
22,0,3
31,0,6
49,1,6
68,2,7
103,3,9
119,3,9
177,4,9
238,5,16
251,5,19
355,5,25
425,5,25
536,5,52
634,7,64
749,8,64
901,10,79
1051,14,86
1221,16,94
1389,16,115
1638,18,139
1862,22,206
2055,31,209
2311,33,220
2554,43,252
2946,57,267
3383,71,283
3627,79,329
4102,94,374
4413,107,406
4848,129,460
5205,159,528
5575,174,647
5955,181,729
6356,208,758
6674,232,852
6934,245,914
7202,263,1051
7582,286,1217
7918,314,1357
8379,332,1508
8742,347,1730
9287,360,1892
9593,380,2017
9856,401,2153
10169,426,2406
10511,454,2478
10892,494,2817
11273,524,2890
11617,535,3054
11902,562,3141
12218,596,3404
12640,624,3569
12877,644,4017
13105,651,4328
13375,664,4547
13693,678,4869
14006,698,5269
14431,716,5454
14740,733,5788
15047,755,6144
15366,776,6423
15651,785,6912
15996,800,7051
16326,811,7245
16921,839,7685
17204,861,7961
17615,883,9053
18016,907,9370
18257,915,9574
18529,925,9890
18885,936,9930
19268,948,10166
19739,962,10356
20143,972,10581
20619,982,10777
20931,993,11187
21326,996,11399
21631,1007,11630
22074,1024,11874
22473,1028,12162
22825,1038,12629
23155,1051,12829
23571,1061,13046
23786,1064,13256
24165,1074,13426
24395,1092,13526
24687,1115,13800
25048,1117,13919
25410,1137,14145
25986,1153,14419
26561,1157,14638
27160,1166,14826
27560,1183,14910
27842,1206,15103
28201,1215,15283
28577,1222,15445
29017,1237,15635
29392,1247,15719
29788,1256,15817
30195,1272,16071
30701,1286,16117
31015,1316,16308
31316,1334,16555
31620,1346,16735
31931,1356,16911
32227,1359,17031
32527,1375,17187
32821,1396,17391
33119,1412,17906
33395,1429,18181
33714,1435,18530
33907,1438,18814
34154,1444,18912
34393,1463,19050
34775,1477,19314
35146,1492,19363
35405,1507,19545
35719,1512,19854
35950,1517,20026
36155,1521,20213
36412,1528,20534
36689,1542,20799
36951,1551,20969
37216,1562,21129
