confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
2,0,2
2,0,2
5,0,2
8,0,2
13,0,2
20,0,2
30,0,3
30,0,3
41,0,3
59,0,3
59,0,3
112,0,3
169,0,8
245,0,8
331,0,8
448,1,8
448,2,8
785,3,9
1020,6,9
1280,12,12
1600,14,16
2060,23,16
2362,33,22
2995,43,29
3544,60,38
4268,76,45
5170,100,49
5962,119,64
6408,140,66
7443,160,121
8251,187,190
9034,209,235
9886,246,281
10524,266,333
11278,295,355
11730,311,406
12442,345,494
13141,380,580
13956,409,698
15472,435,795
15987,470,1045
16585,504,1291
16934,535,1470
17448,567,1694
18091,599,1986
18841,629,2304
19022,657,2590
19685,687,3057
20206,714,3291
20863,735,3446
21379,762,3873
21982,785,4420
22353,820,4891
22797,854,5568
23392,880,6250
23864,903,6767
24027,928,7346
24322,948,8456
24505,973,10286
25045,989,11619
25351,1007,13220
25190,1023,15013
25282,1043,16639
25524,1063,18095
25702,1074,19865
26182,1089,21327
26715,1105,23803
27268,1114,26608
27406,1126,31916
27581,1135,34306
27679,1144,39801
27913,1163,43512
28132,1175,48003
28319,1184,53530
28583,1190,58226
28810,1203,63166
29036,1218,67373
29209,1231,70209
29432,1247,76130
29660,1263,85392
29912,1277,92681
30200,1289,99825
30471,1302,107936
30623,1316,113299
30788,1330,118798
31007,1342,131129
31292,1356,142208
31596,1369,150993
31946,1383,159257
32203,1396,167469
32500,1410,171883
32700,1424,175514
32895,1436,186602
33261,1447,195559
33592,1455,204197
33969,1465,212237
34351,1474,220935
34693,1479,226272
34885,1485,230226
35306,1492,241917
35600,1497,252295
35910,1504,260649
36180,1505,268862
36463,1512,274128
36690,1517,279536
37036,1520,284021
37336,1522,293780
37672,1523,303800
38089,1524,313409
38464,1527,323851
38841,1528,334024
39133,1530,339142
39392,1534,343847
39737,1540,355847
40104,1543,368222
40415,1549,374557
40866,1555,383524
41189,1561,392703
41646,1564,398436
41912,1568,402778
42141,1576,411973
42454,1579,422235
42782,1587,428276
43156,1598,437155
43569,1605,446127
43897,1614,449995
44129,1620,453570
44416,1629,463103
44859,1631,471718
45277,1644,480494
45679,1646,488234
