confirmed,death,recover
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
3,0,0
3,0,0
7,0,0
8,0,0
8,0,0
8,0,0
8,0,0
15,0,0
18,0,0
24,0,0
262,0,0
262,0,0
320,0,0
337,0,0
401,0,0
439,0,0
439,0,0
452,0,0
460,0,0
470,0,0
481,0,0
494,0,0
501,0,0
526,0,0
537,0,0
549,0,0
562,0,0
590,1,0
634,1,0
693,1,0
781,2,0
835,2,0
949,3,0
1075,3,0
1325,3,0
1604,4,4
1832,4,4
2057,6,7
2210,6,7
2376,6,7
2512,6,7
2728,6,18
2979,7,25
3231,7,42
3428,7,49
3711,7,54
4103,7,60
4663,7,65
5008,8,69
5448,8,76
6015,9,76
6533,9,84
7141,10,84
7764,10,87
8525,10,87
9358,10,88
10287,10,92
11244,10,93
11921,10,95
12564,10,98
13409,10,104
14096,12,109
14872,12,120
15551,12,124
16191,12,128
17142,12,129
17972,12,130
18890,12,133
20201,12,136
21331,13,140
22520,14,140
23623,14,150
25149,14,153
26539,14,164
28272,14,168
29425,14,177
30972,15,178
32604,15,197
33969,15,203
35606,15,209
37097,16,216
38651,17,217
40481,19,222
42213,21,227
43714,23,237
45465,26,238
47207,28,244
48947,30,245
50914,33,245
52907,36,247
55262,36,250
56910,38,256
58433,40,262
60259,43,269
62160,45,271
63741,45,280
65495,49,282
67195,51,283
68790,54,290
70158,57,297
71879,62,300
73595,66,307
75071,69,313
76588,70,321
78416,70,332
79602,73,332
80876,76,338
82077,80,338
83174,82,347
84441,86,350
85462,93,351
86488,94,357
87369,98,359
88403,99,370
89579,99,371
90778,104,376
91838,106,385
92784,109,398
93663,110,413
94413,110,443
95106,113,443
96088,113,447
97003,115,480
97897,118,493
98653,121,512
99183,123,523
99799,128,567
100345,133,575
100945,134,595
101553,138,610
102110,142,623
102630,146,635
